x,	y,	z
11.32,	-0.90,	1.23
12.04,	-0.74,	0.47
10.49,	3.80,	4.43
7.78,	1.88,	5.45
6.41,	-3.39,	0.05
6.24,	0.65,	3.41
7.52,	0.80,	3.07
8.60,	-2.45,	1.23
12.68,	-0.90,	1.56
14.69,	-0.01,	1.33
12.35,	-2.56,	0.05
11.24,	-1.46,	-0.27
10.22,	5.97,	2.80
8.15,	4.23,	4.54
5.71,	-7.15,	-1.20
6.85,	-2.76,	0.74
8.34,	5.06,	7.55
9.26,	-2.41,	2.39
10.92,	-3.47,	1.63
13.86,	2.25,	2.87
13.32,	-1.19,	0.15
11.10,	-4.80,	-3.24
9.34,	2.40,	0.03
7.62,	5.20,	2.83
7.02,	-2.18,	0.83
7.77,	-4.45,	1.66
9.42,	-0.74,	3.76
10.22,	2.98,	7.55
8.93,	-3.12,	4.04
10.91,	-3.13,	-0.64
10.90,	4.46,	3.07
10.69,	-1.02,	-1.22
10.08,	-6.12,	-4.13
10.65,	1.95,	0.69
10.65,	5.65,	4.40
8.82,	-2.28,	2.61
9.27,	-3.56,	1.37
8.88,	3.97,	5.90
7.53,	0.38,	5.43
7.29,	-6.77,	-1.14
9.70,	0.91,	1.58
11.91,	4.16,	3.79
11.53,	-5.59,	-1.95
12.28,	-2.68,	-1.61
13.09,	7.73,	4.44
9.59,	0.70,	2.98
7.73,	-6.69,	-0.98
7.64,	3.83,	3.96
5.92,	5.96,	7.05
6.57,	-7.47,	-0.79
9.16,	-4.85,	-0.32
12.23,	5.71,	5.84
13.41,	0.17,	2.06
12.80,	-7.78,	-3.01
12.84,	0.09,	-1.20
8.99,	8.15,	5.33
6.69,	-1.09,	0.76
7.42,	-3.53,	-0.34
7.72,	3.54,	5.19
8.01,	-0.50,	4.94
8.88,	-6.79,	1.56
11.67,	1.40,	3.03
12.42,	5.49,	6.15
12.48,	-4.72,	-2.63
11.37,	-5.13,	-3.14
10.11,	4.08,	1.01
7.41,	2.55,	2.00
7.33,	-3.78,	-1.00
9.48,	1.56,	2.69
8.88,	1.91,	7.30
9.34,	-6.44,	1.81
9.65,	-1.59,	3.36
10.30,	4.38,	5.00
9.40,	-0.44,	-0.12
10.40,	-3.66,	-1.70
11.96,	-1.22,	-1.95
10.83,	2.58,	1.55
10.04,	-0.89,	1.95
10.47,	-1.63,	0.65
9.14,	4.77,	7.01
7.09,	0.29,	4.64
6.71,	-5.34,	0.88
8.17,	-0.73,	2.67
9.61,	2.94,	3.55
10.46,	-1.48,	1.16
13.19,	-4.20,	-1.80
13.46,	1.37,	0.50
11.36,	2.40,	3.07
9.82,	-2.38,	0.19
8.29,	1.54,	2.70
6.38,	3.75,	5.25
5.46,	-3.86,	1.47
7.10,	-3.83,	1.36
10.73,	3.20,	4.86
11.24,	0.20,	4.10
13.45,	-5.49,	-1.90
14.38,	-0.48,	-0.14
11.45,	3.31,	1.33
8.65,	-0.23,	-0.04
7.44,	0.21,	0.43
7.92,	2.94,	3.64
7.13,	-2.77,	2.88
8.46,	-4.67,	2.00
10.89,	2.46,	5.75
10.75,	2.52,	5.61
10.92,	-4.31,	-0.51
12.24,	-1.55,	-1.45
10.86,	0.99,	0.34
9.65,	-1.57,	-3.08
8.04,	-0.05,	0.71
9.31,	2.11,	1.57
8.51,	1.72,	5.81
8.63,	-3.35,	3.56
10.23,	-0.82,	3.11
10.02,	2.38,	6.28
8.44,	-3.12,	-0.05
9.16,	-1.52,	0.14
11.62,	1.99,	0.89
12.00,	-1.24,	-1.01
11.09,	-2.83,	-0.53
11.59,	1.54,	1.31
9.78,	5.02,	5.70
7.34,	-1.70,	3.93
7.02,	-3.59,	0.51
7.12,	3.61,	5.45
7.96,	-1.88,	2.22
9.13,	-5.28,	-1.49
12.17,	1.50,	3.11
13.24,	1.73,	0.66
12.16,	-2.73,	0.20
12.38,	-2.58,	-0.72
9.82,	5.04,	3.60
7.18,	3.63,	4.67
5.53,	-5.36,	-0.97
6.82,	-1.33,	1.97
8.51,	3.10,	6.20
9.33,	-2.93,	2.85
12.02,	-3.08,	1.08
13.75,	1.81,	2.82
12.96,	-0.48,	-0.62
10.79,	-2.93,	-1.95
9.18,	1.99,	0.17
7.77,	4.37,	3.25
6.70,	-3.24,	1.45
8.24,	-4.18,	1.27
9.92,	3.36,	6.52
10.27,	1.11,	6.17
9.83,	-5.90,	0.58
10.95,	-1.04,	0.57
11.46,	4.96,	2.49
10.58,	-2.51,	-2.04
10.25,	-4.67,	-4.29
10.11,	4.57,	2.18
9.08,	2.37,	3.96
8.73,	-4.49,	0.97
10.01,	1.17,	4.64
9.73,	4.18,	6.94
7.75,	-6.43,	0.79
8.25,	-5.72,	-1.82
10.10,	6.88,	5.14
10.49,	2.29,	1.76
12.11,	-6.99,	-3.40
13.01,	-1.52,	-0.77
12.47,	5.98,	3.51
8.81,	-0.11,	2.83
8.04,	-4.46,	-0.82
7.49,	3.25,	5.36
6.58,	2.10,	4.75
7.28,	-5.71,	0.94
9.99,	-2.97,	0.59
12.36,	3.31,	3.87
12.48,	-0.27,	1.43
13.40,	-3.65,	-1.52
12.85,	1.39,	0.76
9.57,	2.35,	3.25
6.66,	-2.94,	0.37
6.57,	1.79,	1.87
6.91,	5.61,	5.89
8.06,	-5.24,	2.00
9.34,	-8.05,	0.41
12.26,	4.14,	5.07
12.54,	4.86,	4.74
11.95,	-5.08,	-2.79
11.32,	-3.27,	-2.52
8.96,	4.09,	2.04
7.30,	0.86,	1.23
8.08,	-1.90,	0.85
9.46,	2.87,	4.79
8.84,	-0.22,	5.76
9.17,	-5.57,	2.05
11.15,	-0.71,	3.00
10.61,	3.29,	3.65
9.89,	0.63,	-0.07
10.26,	-2.41,	-1.35
10.76,	-3.33,	-2.79
10.09,	1.64,	0.99
9.69,	1.87,	2.83
10.06,	0.11,	1.48
9.14,	1.68,	6.02
7.84,	-2.23,	4.30
7.56,	-4.36,	1.22
8.16,	0.87,	2.75
9.34,	2.86,	3.11
10.42,	-3.04,	0.01
13.02,	-2.44,	-2.22
14.20,	3.07,	2.46
11.00,	-0.96,	0.51
9.84,	-1.52,	0.09
8.04,	4.88,	4.86
6.01,	0.89,	4.17
6.05,	-6.39,	0.42
8.14,	-1.66,	2.75
10.70,	3.18,	5.11
10.85,	-2.16,	2.03
13.27,	-3.50,	-1.05
13.51,	1.76,	1.10
10.87,	0.77,	0.88
9.95,	-2.39,	-1.03
7.61,	1.59,	1.84
6.57,	3.89,	4.01
6.33,	-2.91,	3.07
8.99,	-5.30,	1.35
11.16,	1.32,	5.84
11.16,	1.86,	5.26
11.44,	-2.20,	0.42
12.14,	-0.40,	-0.61
10.50,	0.31,	-0.15
9.07,	-2.73,	-2.29
8.47,	1.43,	0.54
9.09,	5.12,	4.54
8.49,	-2.04,	3.89
9.24,	-5.40,	2.47
10.88,	2.54,	5.35
10.46,	2.37,	6.19
8.99,	-5.57,	-2.15
9.43,	-0.40,	0.05
10.86,	3.32,	1.63
10.84,	-3.56,	-2.30
10.88,	-3.54,	-0.91
11.40,	4.26,	2.15
9.27,	4.82,	6.55
7.83,	-4.87,	1.42
8.19,	-2.35,	2.16
7.99,	4.23,	6.67
7.97,	-2.52,	0.22
9.07,	-2.72,	-0.47
12.46,	0.32,	1.42
13.15,	-0.20,	-0.64
12.73,	-1.63,	1.44
12.45,	-1.84,	-1.15
9.09,	5.77,	5.07
6.47,	2.45,	4.91
5.29,	-5.71,	-0.68
