x,	y,	z
13.59,	4.41,	3.77
12.37,	-4.23,	-2.18
11.24,	-2.18,	-1.73
9.05,	4.60,	3.33
6.27,	0.19,	1.97
6.54,	-2.93,	0.51
8.08,	2.67,	4.94
9.11,	0.40,	5.98
9.71,	-5.94,	2.38
12.29,	-1.19,	2.17
12.56,	3.65,	4.07
11.09,	-1.02,	-1.66
10.19,	-1.95,	-2.06
8.66,	1.51,	-0.32
8.31,	1.51,	1.82
7.84,	-1.96,	1.52
10.05,	-0.29,	3.14
9.66,	2.64,	6.32
9.71,	-1.87,	4.23
9.81,	-5.15,	0.69
9.71,	-1.29,	1.85
10.04,	2.58,	1.35
11.10,	0.22,	-0.07
11.45,	-2.56,	-2.22
11.18,	1.20,	0.76
9.97,	0.11,	2.91
9.46,	-1.96,	0.54
8.19,	3.85,	5.76
7.25,	1.64,	4.61
6.88,	-5.27,	0.70
8.35,	-3.00,	1.36
10.71,	2.58,	3.26
11.74,	0.60,	1.72
13.79,	-3.03,	-1.31
14.01,	-0.15,	0.09
10.35,	1.42,	2.69
7.96,	-1.45,	0.67
7.13,	2.28,	2.40
6.31,	3.65,	5.47
5.90,	-1.79,	3.11
8.32,	-4.70,	2.14
10.83,	-0.72,	3.89
11.96,	0.64,	2.96
12.91,	-0.97,	0.63
13.03,	-0.31,	-0.51
11.61,	1.17,	0.17
8.50,	-0.87,	0.97
7.11,	-2.57,	-0.32
7.42,	5.21,	3.92
7.46,	5.10,	7.23
8.96,	-8.11,	1.16
10.07,	-6.22,	1.92
11.84,	4.40,	6.61
11.09,	1.12,	2.20
10.66,	-1.89,	-1.67
10.82,	0.88,	-0.21
8.97,	0.05,	-0.65
7.50,	-2.17,	0.03
10.40,	2.28,	1.54
9.63,	6.07,	6.80
9.14,	-3.37,	2.46
9.57,	-5.66,	0.87
10.38,	0.68,	4.14
9.33,	-0.07,	2.29
9.10,	-1.18,	-0.18
11.04,	1.68,	0.64
11.46,	-0.82,	0.21
11.41,	-3.80,	-0.91
11.32,	0.31,	1.05
10.76,	5.56,	4.09
7.18,	0.51,	4.50
6.30,	-5.19,	0.39
6.66,	-0.48,	3.70
8.42,	1.29,	4.04
9.61,	-2.15,	1.33
12.09,	-2.26,	0.89
13.87,	1.67,	1.29
13.25,	0.13,	1.92
11.02,	-4.61,	-2.12
9.46,	1.44,	0.65
6.78,	6.38,	5.12
5.37,	-1.37,	1.74
7.24,	-5.07,	1.41
9.28,	0.28,	4.78
10.71,	-0.06,	4.52
11.50,	-3.10,	0.95
13.47,	0.96,	1.18
12.87,	2.67,	1.39
9.87,	-2.75,	-1.22
8.86,	-2.83,	-1.79
8.86,	4.22,	3.08
6.30,	3.26,	4.64
7.49,	-3.55,	2.22
9.65,	-1.88,	3.79
10.84,	-0.22,	5.90
10.06,	-3.39,	2.62
11.04,	-0.12,	0.65
10.85,	3.52,	2.27
9.78,	-1.52,	-1.51
9.21,	-3.77,	-2.38
10.58,	2.29,	0.92
10.71,	6.05,	4.29
8.34,	-2.65,	3.85
9.82,	-4.84,	0.12
9.42,	3.96,	6.64
8.29,	-0.10,	3.96
8.56,	-5.82,	-1.73
9.50,	0.81,	1.74
11.15,	4.13,	1.99
11.22,	-2.27,	0.01
