x,	y,	z
12.26,	-1.67,	-1.55
9.02,	3.47,	1.53
7.34,	0.30,	1.30
6.77,	-3.36,	-0.26
7.40,	2.13,	3.67
7.57,	1.84,	7.03
10.31,	-4.42,	1.86
12.73,	-2.27,	3.88
12.88,	-1.16,	2.32
10.17,	-1.57,	-0.98
9.11,	1.52,	-0.54
9.16,	3.59,	0.34
8.85,	-0.65,	0.58
9.92,	-3.98,	-0.12
10.33,	1.85,	3.38
8.56,	4.94,	7.17
7.82,	-2.84,	3.28
9.61,	-3.72,	1.28
10.04,	0.84,	4.24
9.72,	-1.87,	-0.41
10.44,	-1.84,	-0.53
12.09,	1.67,	0.22
12.20,	1.30,	0.96
10.39,	-3.56,	0.55
10.36,	-1.44,	0.46
7.84,	6.06,	6.56
5.70,	0.86,	3.93
5.52,	-4.32,	0.34
8.76,	-0.76,	3.78
10.39,	0.26,	3.20
11.33,	-2.12,	1.91
13.30,	-2.08,	0.24
13.83,	1.81,	1.20
11.45,	1.35,	1.71
8.86,	-2.17,	-0.56
7.98,	0.60,	0.86
6.06,	3.67,	4.05
5.03,	-0.60,	3.55
8.59,	-3.14,	2.60
11.46,	-0.26,	4.70
12.10,	-2.58,	2.58
11.92,	-3.52,	0.62
12.87,	2.82,	0.98
11.61,	4.07,	1.20
8.62,	-3.55,	-1.81
8.09,	-3.17,	-2.11
8.49,	5.15,	4.41
7.02,	2.14,	4.77
7.38,	-5.10,	1.83
10.23,	-0.20,	3.96
12.10,	2.10,	6.42
11.78,	-5.88,	0.32
10.99,	-3.52,	-1.58
10.04,	4.67,	1.72
8.87,	2.14,	-0.31
8.94,	-2.95,	-1.76
11.34,	-0.30,	0.87
11.17,	4.24,	4.76
7.75,	-1.42,	3.81
8.26,	-3.23,	0.35
8.34,	3.85,	5.95
8.59,	-0.31,	3.27
9.79,	-6.37,	-1.28
11.39,	-0.66,	0.75
12.71,	4.22,	2.26
11.67,	-1.61,	0.74
11.67,	-4.17,	-1.61
11.01,	4.03,	3.08
7.12,	3.17,	5.47
5.30,	-5.25,	0.21
6.41,	0.72,	2.82
8.38,	5.76,	7.27
9.64,	-6.52,	0.46
11.40,	-7.25,	-1.46
14.33,	5.33,	3.95
13.66,	3.40,	2.27
10.49,	-5.70,	-2.58
10.12,	-0.82,	-1.03
7.51,	6.74,	5.31
5.31,	-1.29,	2.00
6.50,	-4.21,	0.35
8.65,	4.08,	6.84
10.72,	-0.55,	5.20
11.53,	-8.02,	0.32
13.04,	-0.23,	1.55
12.87,	5.84,	3.35
9.54,	-0.79,	-1.56
9.21,	-3.25,	-2.64
9.37,	1.99,	1.21
8.63,	2.83,	3.65
7.47,	-3.56,	1.79
7.89,	-1.17,	2.28
9.82,	4.75,	7.65
10.44,	-2.28,	3.72
11.54,	-7.39,	-0.91
11.85,	-0.62,	0.88
9.60,	3.07,	1.09
8.83,	-0.46,	-1.35
10.67,	0.24,	-0.28
11.01,	1.58,	2.50
10.12,	-2.11,	2.40
9.21,	-1.16,	2.33
7.81,	4.35,	5.19
6.35,	1.21,	4.10
8.29,	-5.64,	0.30
10.72,	-3.62,	1.00
11.81,	1.86,	2.09
12.21,	0.70,	1.58
12.98,	-2.51,	-1.13
12.52,	0.35,	0.54
8.86,	1.48,	3.22
7.31,	-1.44,	0.82
6.27,	2.02,	3.25
6.04,	2.77,	5.10
7.37,	-3.47,	2.75
10.19,	-4.60,	2.31
12.99,	0.10,	2.07
13.49,	1.88,	3.12
12.50,	-2.61,	-1.36
11.92,	-0.95,	-1.47
9.21,	3.69,	2.73
7.05,	-0.28,	1.25
6.25,	-1.74,	0.40
7.39,	4.05,	4.44
8.00,	-0.38,	5.78
9.30,	-7.06,	1.29
13.11,	-0.46,	4.03
13.04,	2.58,	4.00
10.72,	-1.90,	-0.96
9.82,	-1.00,	-1.43
9.61,	3.21,	0.56
8.44,	0.12,	0.98
9.62,	-3.57,	-0.27
9.45,	2.41,	3.46
8.04,	3.69,	6.74
7.85,	-3.43,	2.53
10.63,	-2.80,	2.14
11.50,	0.42,	3.94
10.76,	-2.73,	-0.97
9.93,	-1.30,	-0.84
10.65,	2.30,	0.20
11.03,	1.26,	0.21
10.19,	-3.28,	0.79
11.06,	-1.54,	0.68
8.97,	5.40,	6.64
6.18,	0.46,	4.75
5.75,	-5.04,	0.45
7.85,	0.78,	3.53
11.16,	0.32,	3.28
11.61,	-5.47,	-0.99
13.00,	-0.52,	0.22
13.73,	4.44,	2.51
10.84,	-1.88,	0.20
9.67,	-4.06,	-1.50
8.02,	5.78,	3.74
6.22,	4.98,	5.34
5.52,	-6.65,	0.28
7.36,	-4.19,	1.93
11.73,	4.58,	6.49
12.22,	0.29,	3.92
13.34,	-6.10,	-1.07
13.58,	-0.94,	-0.60
10.32,	4.39,	2.17
8.43,	-0.25,	-0.79
7.89,	-1.96,	-1.73
7.54,	3.17,	3.65
6.52,	0.83,	4.42
7.53,	-4.33,	2.54
10.02,	-1.04,	4.14
11.82,	2.59,	5.90
11.65,	-2.76,	2.48
11.54,	-3.90,	-1.68
10.61,	2.05,	0.63
9.11,	2.09,	-0.34
8.93,	-0.99,	-1.02
10.63,	-0.09,	1.02
9.97,	2.57,	4.00
7.86,	-1.79,	4.46
8.18,	-3.17,	1.47
9.13,	3.40,	5.46
10.08,	0.36,	3.46
10.37,	-6.92,	-1.76
10.85,	-2.18,	-0.31
11.21,	4.85,	2.22
10.66,	-0.25,	0.41
11.59,	-3.61,	-1.60
11.27,	3.49,	3.33
8.02,	1.74,	5.01
6.17,	-5.67,	0.08
6.31,	0.77,	3.32
7.21,	5.96,	6.46
9.97,	-3.39,	1.61
12.23,	-7.55,	-0.82
13.43,	0.46,	1.12
13.00,	4.06,	2.92
11.74,	-1.81,	-1.27
10.53,	-0.91,	-0.68
7.74,	4.04,	3.78
5.50,	-0.30,	2.56
6.09,	-3.97,	0.45
8.13,	1.62,	4.23
9.54,	1.56,	5.98
11.57,	-4.28,	1.60
13.45,	-1.82,	1.87
13.74,	0.59,	1.79
10.39,	-0.56,	-1.49
9.13,	1.48,	-0.76
8.38,	3.47,	1.38
7.84,	-0.40,	2.12
7.19,	-5.15,	1.49
8.58,	0.63,	3.85
9.89,	5.35,	8.13
