x,	y,	z
8.27,	-2.37,	-0.23
7.39,	3.09,	2.62
7.02,	1.92,	5.43
7.80,	-5.60,	1.72
10.50,	-1.53,	3.83
12.21,	3.47,	6.76
12.29,	-3.25,	-0.14
12.04,	-3.36,	-1.69
9.94,	4.39,	1.09
7.95,	3.18,	1.00
8.24,	-4.01,	-1.30
10.26,	-2.38,	-0.14
8.13,	5.04,	7.11
7.95,	0.78,	6.02
10.36,	-4.50,	2.07
11.53,	-0.93,	4.51
9.91,	-0.89,	2.19
9.93,	-2.06,	-0.31
10.40,	1.28,	0.08
9.18,	0.82,	0.03
9.15,	-1.45,	0.09
11.51,	-0.41,	1.04
12.12,	2.97,	3.94
9.04,	0.98,	5.41
7.43,	-3.35,	1.26
7.37,	-0.30,	3.08
8.04,	-0.06,	2.25
8.60,	-2.30,	0.88
11.87,	-1.27,	0.61
12.60,	0.72,	0.68
11.43,	-1.23,	1.19
11.28,	-3.23,	-1.00
11.10,	3.99,	2.49
9.26,	4.74,	4.60
5.69,	-4.28,	-0.32
6.15,	-2.77,	1.38
8.72,	2.96,	5.48
9.68,	-1.08,	3.66
12.03,	-4.33,	0.63
13.95,	0.35,	1.69
12.47,	2.87,	1.90
9.39,	-2.05,	-0.17
9.45,	-0.94,	-1.23
9.23,	4.59,	3.17
5.89,	-0.98,	2.55
6.56,	-4.89,	0.75
9.56,	1.13,	5.14
10.63,	1.87,	6.08
10.50,	-4.28,	2.20
12.14,	-2.66,	0.84
12.26,	2.80,	1.68
9.22,	0.27,	-0.34
7.44,	-1.06,	-1.84
9.34,	2.99,	0.75
10.33,	1.47,	3.24
8.01,	-4.55,	2.80
9.14,	0.29,	3.48
10.33,	6.34,	8.06
9.38,	-4.66,	1.76
9.68,	-8.60,	-2.42
10.94,	3.86,	3.25
11.20,	4.85,	2.04
8.84,	-4.43,	-1.92
9.64,	-3.86,	-1.83
12.01,	3.23,	1.42
11.19,	2.74,	5.49
9.49,	-5.41,	0.40
8.60,	0.58,	2.90
7.35,	6.07,	6.64
6.53,	-4.65,	0.95
7.95,	-6.65,	-1.64
12.69,	3.42,	3.75
13.04,	2.34,	2.47
11.43,	-5.43,	-1.48
11.85,	-1.46,	-0.43
10.47,	6.36,	4.48
8.11,	0.50,	2.83
6.64,	-4.31,	-1.44
7.09,	2.84,	3.43
8.06,	1.17,	4.62
8.94,	-6.23,	0.91
12.37,	-1.21,	2.16
13.68,	4.74,	4.43
11.85,	-2.39,	-0.21
10.47,	-5.03,	-3.47
9.72,	5.63,	2.36
8.79,	4.87,	3.86
6.89,	-6.87,	-0.91
7.37,	-2.30,	1.52
9.27,	6.22,	8.74
9.38,	-2.43,	4.34
11.11,	-6.32,	0.71
12.06,	1.96,	4.33
11.41,	1.54,	1.18
9.01,	-3.56,	-2.51
8.52,	0.76,	-1.31
9.45,	5.39,	2.09
9.64,	-1.41,	1.94
10.27,	-5.87,	0.19
10.09,	4.51,	5.93
8.84,	5.82,	8.39
8.21,	-7.27,	-0.29
9.67,	-5.79,	-0.25
10.45,	3.33,	2.92
10.87,	2.01,	0.92
10.32,	-3.79,	-1.62
10.38,	-1.79,	-1.59
10.60,	3.62,	4.04
10.89,	-0.30,	2.02
10.20,	-0.72,	1.68
8.66,	3.07,	4.89
5.87,	-2.45,	2.49
6.38,	-5.01,	0.40
9.70,	2.39,	3.62
11.26,	2.26,	3.91
13.34,	-5.31,	-1.20
13.02,	-2.67,	-0.79
11.72,	4.97,	3.49
8.86,	0.93,	1.64
7.99,	-2.35,	-0.27
7.70,	2.19,	2.70
6.49,	1.22,	3.88
7.53,	-4.67,	1.83
10.81,	-1.95,	2.36
12.16,	3.24,	5.81
11.75,	-2.66,	0.89
12.11,	-4.34,	-1.93
11.18,	3.27,	0.89
8.95,	3.61,	1.13
7.92,	-2.37,	-0.31
8.83,	-2.08,	0.23
8.15,	3.36,	5.93
7.62,	0.25,	6.44
10.24,	-4.11,	2.30
11.81,	-0.15,	4.59
10.73,	-0.66,	2.44
10.27,	-3.10,	-0.92
9.75,	1.49,	-0.28
9.18,	3.03,	0.36
8.61,	-1.40,	-0.26
10.45,	-1.99,	0.22
11.68,	2.86,	4.51
9.14,	1.19,	5.53
8.26,	-3.41,	1.97
8.48,	0.07,	3.55
8.88,	0.41,	3.41
9.36,	-3.88,	-0.06
11.49,	-1.68,	-0.10
12.40,	2.23,	0.87
10.57,	-0.08,	0.77
10.19,	-2.87,	-0.45
11.35,	2.86,	2.50
9.84,	4.07,	5.71
6.99,	-4.90,	0.27
6.46,	-3.48,	0.53
8.23,	4.14,	5.02
8.87,	1.31,	3.24
11.13,	-5.24,	0.46
13.62,	-2.66,	-0.03
13.54,	2.86,	2.41
10.70,	0.02,	0.77
9.22,	-0.22,	-0.76
8.29,	4.44,	2.69
6.49,	-1.39,	2.60
6.66,	-6.26,	-0.32
9.35,	2.47,	5.07
10.81,	4.04,	6.86
11.12,	-5.59,	0.97
12.06,	-4.77,	0.42
12.42,	3.23,	1.63
10.15,	2.84,	0.69
8.10,	-1.83,	-1.61
8.67,	0.17,	-0.68
8.74,	2.63,	4.46
7.61,	-3.14,	3.60
9.33,	-2.13,	3.05
10.32,	5.10,	7.75
10.17,	-1.62,	3.58
10.04,	-7.30,	-1.18
10.52,	-0.12,	1.13
10.40,	3.44,	0.55
8.87,	0.25,	-0.52
9.51,	-1.51,	-1.10
11.20,	1.93,	2.06
10.74,	1.71,	5.15
9.17,	-3.92,	1.37
8.80,	0.16,	2.65
7.68,	3.43,	5.82
7.27,	-3.45,	1.43
10.10,	-3.94,	0.38
11.56,	1.24,	2.25
12.32,	0.05,	0.64
11.59,	-2.87,	-1.19
11.23,	2.15,	1.02
10.38,	4.72,	4.27
8.15,	-3.39,	1.16
7.45,	-4.20,	-0.04
7.34,	4.46,	4.63
7.08,	2.10,	4.70
9.22,	-6.36,	-0.04
11.64,	-2.31,	1.60
13.08,	2.87,	4.12
13.13,	-2.16,	-0.58
11.02,	-0.88,	-1.19
9.87,	4.56,	1.58
7.74,	3.69,	2.61
6.81,	-4.64,	-0.38
8.26,	-2.34,	1.03
8.88,	4.09,	6.88
9.13,	-0.82,	4.84
11.33,	-4.99,	1.64
12.48,	-0.56,	3.02
