x,	y,	z
12.06,	3.33,	4.73
12.42,	-4.09,	-1.77
11.88,	-1.59,	-1.58
10.08,	3.34,	1.34
7.40,	-0.33,	0.20
7.84,	-1.24,	0.19
8.24,	3.75,	4.75
8.48,	-0.89,	5.35
9.23,	-6.15,	1.45
11.80,	0.76,	4.89
11.62,	2.29,	4.42
9.69,	-3.45,	-1.47
9.92,	-0.27,	-0.88
10.50,	2.69,	0.79
9.45,	-1.81,	-1.18
9.67,	-2.19,	0.20
10.90,	3.58,	2.51
8.96,	3.28,	7.03
8.08,	-4.73,	2.09
8.98,	-2.51,	2.52
8.85,	2.07,	4.85
8.81,	-1.19,	0.24
9.72,	-1.98,	0.44
12.19,	0.88,	-0.52
13.08,	2.06,	1.37
11.85,	-3.63,	-0.31
11.02,	-2.14,	-0.48
8.41,	6.87,	6.37
6.16,	1.62,	4.22
6.00,	-6.29,	0.06
7.45,	-1.14,	3.42
9.92,	1.85,	4.78
10.31,	-2.73,	1.45
13.22,	-2.25,	-0.09
13.85,	2.36,	1.36
11.51,	-0.12,	1.39
10.18,	-3.61,	-1.43
9.27,	3.01,	2.73
6.35,	3.95,	4.90
5.33,	-3.56,	1.03
7.97,	-2.13,	2.47
10.78,	0.74,	5.53
10.80,	-2.86,	3.06
11.99,	-1.83,	1.61
12.76,	2.24,	1.83
10.46,	1.04,	0.07
9.45,	-2.34,	-1.79
8.52,	0.22,	-0.59
8.75,	4.24,	3.04
7.14,	-1.18,	4.20
8.73,	-5.20,	1.97
10.81,	2.63,	5.76
10.39,	2.97,	6.67
10.30,	-6.13,	-1.47
10.31,	-3.07,	-0.58
10.02,	4.60,	1.24
10.28,	2.46,	0.33
10.27,	-4.67,	-2.06
11.36,	-1.58,	-0.77
9.67,	5.58,	6.67
8.34,	-0.95,	3.74
8.89,	-3.24,	1.01
8.54,	2.77,	5.88
7.22,	-2.28,	2.30
8.32,	-5.33,	-0.64
11.39,	2.06,	2.22
12.34,	2.37,	1.63
12.56,	-3.35,	-1.24
13.30,	-1.92,	-0.44
11.12,	4.05,	3.63
7.41,	1.78,	4.21
5.77,	-2.96,	0.26
6.60,	1.30,	2.74
7.56,	0.57,	5.01
8.59,	-6.29,	1.21
11.72,	-2.04,	1.69
13.00,	4.32,	3.94
12.68,	-0.49,	0.15
11.38,	-4.20,	-2.46
10.88,	2.43,	0.54
8.99,	4.29,	3.80
6.06,	-4.51,	-0.03
6.48,	-2.09,	0.99
8.98,	6.18,	7.69
9.59,	-0.89,	5.35
11.01,	-8.76,	-0.21
12.63,	-0.35,	2.50
11.53,	5.36,	3.30
9.79,	-0.40,	-1.46
9.71,	-1.87,	-1.75
9.43,	1.33,	0.10
7.85,	-0.17,	2.61
8.06,	-1.65,	1.64
10.01,	2.84,	5.97
10.24,	1.70,	5.95
9.29,	-5.25,	1.63
10.34,	-3.89,	1.07
10.17,	0.97,	0.88
9.30,	1.43,	0.19
10.30,	0.44,	-0.39
11.65,	-0.14,	-0.45
11.27,	-0.87,	1.81
10.31,	-1.56,	1.98
9.72,	3.60,	3.71
8.12,	4.51,	5.76
6.47,	-5.43,	1.18
6.91,	-6.20,	0.54
9.85,	1.68,	3.63
10.75,	2.48,	2.34
12.29,	-2.98,	0.01
13.12,	-2.87,	-1.70
13.01,	3.05,	2.98
10.25,	-0.16,	2.19
7.66,	-1.85,	0.06
6.67,	4.47,	4.30
5.85,	1.45,	4.27
6.78,	-6.10,	1.52
10.74,	-3.85,	1.97
12.30,	2.46,	4.61
12.63,	0.42,	1.57
