x,	y,	z
9.48,	4.64,	6.52
8.84,	-2.61,	2.01
9.23,	-6.30,	-1.35
11.07,	0.78,	2.07
10.90,	2.60,	0.92
10.47,	-1.77,	0.05
12.10,	-2.82,	-1.44
11.94,	3.68,	3.39
9.23,	2.95,	5.21
7.34,	-3.96,	0.61
6.93,	-0.71,	2.25
6.13,	2.83,	4.84
8.28,	-1.60,	2.38
11.51,	-4.99,	0.42
13.07,	-1.90,	0.81
12.59,	1.86,	1.93
12.29,	-0.85,	0.30
11.87,	0.16,	-0.44
9.40,	3.88,	3.31
5.77,	-0.75,	1.73
5.41,	-3.33,	0.34
7.45,	1.78,	4.16
8.66,	1.66,	5.43
11.19,	-3.82,	1.69
14.12,	-1.84,	1.84
13.45,	-0.13,	1.59
11.22,	-2.41,	-1.54
9.80,	1.91,	-0.58
8.91,	5.15,	1.59
7.37,	-1.98,	1.45
7.05,	-5.68,	-0.04
8.76,	2.89,	5.83
8.76,	4.37,	7.75
9.48,	-4.71,	2.12
11.39,	-3.78,	1.59
12.79,	1.15,	2.72
10.97,	-1.03,	-0.27
9.46,	-1.76,	-1.74
9.19,	2.46,	-0.77
9.73,	4.80,	2.42
8.97,	-2.96,	1.80
9.89,	-4.82,	0.86
9.50,	5.10,	6.90
7.84,	3.53,	6.61
7.54,	-6.38,	-0.26
9.30,	-2.90,	0.77
11.63,	1.81,	2.73
10.22,	-1.70,	-0.35
11.47,	-1.17,	-0.38
12.96,	2.34,	1.08
11.71,	0.27,	2.54
9.10,	-3.69,	0.75
8.25,	3.17,	2.88
6.82,	5.77,	6.21
4.98,	-5.37,	0.58
7.12,	-5.11,	0.41
12.39,	2.85,	4.96
12.60,	-1.36,	1.89
13.00,	-5.31,	-1.70
13.16,	1.78,	0.12
10.82,	5.08,	3.47
8.43,	-3.05,	-0.12
6.75,	-2.23,	-0.34
6.85,	6.04,	5.08
6.33,	0.27,	3.58
8.04,	-6.77,	0.69
11.63,	-0.73,	3.40
13.37,	3.76,	5.70
12.88,	-4.13,	-0.43
11.85,	-4.44,	-3.17
10.14,	5.60,	2.06
8.31,	3.30,	1.08
7.60,	-5.06,	-1.23
8.97,	-1.70,	1.21
8.76,	5.50,	7.95
7.59,	-0.90,	5.73
9.65,	-5.18,	1.10
11.15,	1.64,	4.82
11.13,	-0.44,	1.88
10.38,	-4.27,	-2.43
10.99,	1.48,	0.60
10.25,	2.46,	0.22
8.96,	-1.60,	0.88
10.34,	-1.59,	0.54
10.65,	4.65,	5.57
8.33,	1.33,	6.14
7.14,	-5.43,	0.37
7.09,	-0.14,	3.79
9.45,	2.20,	3.82
10.16,	-3.21,	0.62
11.81,	-4.27,	-1.68
12.61,	3.03,	0.51
11.94,	2.50,	3.17
11.61,	-5.52,	-2.18
10.27,	1.55,	1.94
8.07,	8.29,	6.96
4.97,	-3.31,	1.08
5.51,	-7.14,	-1.09
8.66,	3.33,	5.37
10.71,	3.33,	5.36
12.52,	-6.61,	-0.71
14.27,	-4.57,	-1.31
12.94,	5.28,	2.33
10.32,	1.85,	1.34
8.57,	-3.64,	-2.85
7.87,	2.70,	2.04
6.05,	1.92,	4.76
6.53,	-4.70,	0.76
9.45,	-0.36,	4.57
11.16,	2.60,	6.17
11.86,	-3.14,	1.96
13.10,	-4.07,	0.08
12.15,	1.96,	0.11
9.22,	2.80,	0.97
7.80,	-1.86,	-2.20
9.02,	-0.32,	-0.21
8.65,	2.58,	4.85
7.78,	-2.03,	4.76
