x,	y,	z
7.62,	2.06,	6.76
8.01,	-5.05,	2.11
11.29,	-1.01,	4.29
12.00,	1.70,	4.96
10.67,	-3.39,	-0.63
10.70,	-1.94,	-1.11
9.91,	2.56,	0.18
9.09,	1.93,	0.10
9.61,	-2.11,	0.75
11.48,	-1.06,	0.44
9.35,	4.55,	7.05
7.44,	0.10,	4.71
7.32,	-3.29,	1.38
8.63,	0.60,	3.68
10.11,	-1.36,	1.84
9.93,	-4.45,	-0.40
12.18,	1.99,	0.55
12.82,	4.39,	3.18
12.13,	-5.35,	-1.26
10.99,	-4.68,	-1.61
9.34,	8.19,	5.95
6.79,	4.25,	5.07
4.61,	-7.37,	-0.87
6.24,	-1.84,	2.43
10.58,	3.82,	6.46
11.29,	-4.40,	1.22
13.38,	-5.06,	-0.98
14.22,	4.06,	1.90
11.47,	2.60,	1.94
9.46,	-5.75,	-2.51
8.65,	1.11,	0.34
7.22,	8.06,	6.21
5.21,	-3.35,	0.91
7.05,	-6.17,	-0.07
10.64,	2.41,	6.28
11.77,	1.10,	4.99
12.51,	-5.21,	0.36
13.03,	-1.99,	-0.68
10.51,	4.26,	2.00
8.80,	0.05,	-0.58
8.20,	-2.30,	-1.66
9.68,	2.42,	2.16
8.03,	1.57,	5.54
7.62,	-4.34,	3.17
9.58,	0.97,	4.31
9.60,	4.48,	7.76
9.98,	-5.87,	-0.32
10.44,	-5.49,	-1.34
11.66,	4.30,	2.08
10.66,	2.43,	0.63
9.49,	-4.16,	-1.93
11.12,	-0.56,	-0.33
11.00,	5.67,	6.04
8.44,	-1.11,	4.05
7.69,	-4.29,	0.47
7.41,	4.13,	5.23
7.32,	0.58,	4.56
8.89,	-7.30,	-1.34
11.77,	-2.00,	1.27
12.22,	3.98,	2.29
11.98,	-0.06,	1.39
12.43,	-4.58,	-1.73
12.01,	1.79,	1.75
8.81,	5.61,	5.15
5.74,	-2.66,	0.65
5.58,	-3.18,	-0.22
6.97,	3.48,	5.73
8.54,	-0.76,	4.27
12.35,	-5.62,	0.05
14.11,	-0.43,	1.92
13.31,	1.82,	1.40
11.39,	-1.98,	-1.21
10.10,	0.27,	-1.26
8.68,	4.53,	2.46
6.02,	-1.37,	2.19
6.76,	-4.27,	-0.03
8.56,	3.58,	6.19
9.42,	1.91,	6.50
11.05,	-5.85,	0.78
12.87,	-2.28,	1.99
12.69,	2.24,	1.71
9.79,	-0.52,	-0.77
8.91,	-1.00,	-1.80
9.14,	2.46,	0.07
8.95,	0.65,	2.66
8.39,	-3.51,	1.77
9.42,	1.31,	4.62
9.03,	4.60,	7.45
7.86,	-4.01,	2.26
10.01,	-5.42,	-0.04
11.16,	1.05,	2.17
10.88,	1.71,	0.78
10.60,	-1.72,	-0.65
11.39,	-1.83,	-1.53
11.27,	2.20,	2.80
10.06,	0.65,	3.53
9.06,	-0.65,	1.80
7.89,	2.53,	4.37
5.56,	-0.54,	3.46
6.07,	-3.75,	1.81
10.61,	-0.78,	2.69
12.18,	-0.20,	2.40
12.04,	-3.03,	-0.03
12.72,	-0.52,	-0.35
12.89,	3.59,	2.59
11.07,	-0.83,	1.31
7.82,	-2.38,	0.07
7.42,	4.09,	3.45
5.47,	2.16,	4.12
5.22,	-5.52,	1.12
9.53,	-2.26,	2.45
12.78,	3.52,	5.57
13.26,	-2.45,	1.40
13.08,	-6.27,	-1.86
12.28,	-1.56,	-1.35
9.86,	5.76,	2.16
7.51,	1.05,	0.21
7.48,	-2.99,	-0.70
8.16,	1.65,	3.13
7.70,	1.48,	6.09
8.01,	-4.26,	3.35
11.52,	-1.41,	2.91
12.37,	3.21,	5.16
11.72,	-3.23,	-0.55
10.58,	-3.95,	-2.91
9.57,	3.59,	1.19
9.13,	2.29,	0.37
9.33,	-3.13,	0.07
10.13,	-0.46,	1.44
9.37,	4.77,	7.23
7.62,	-1.19,	5.06
8.03,	-4.86,	1.18
8.88,	1.46,	4.82
10.33,	-0.11,	2.09
10.43,	-4.37,	-1.32
11.74,	0.03,	0.02
12.06,	3.23,	1.31
11.03,	-1.91,	0.69
10.89,	-3.62,	-0.50
9.68,	5.66,	5.29
7.01,	3.85,	6.17
5.16,	-6.16,	-0.73
6.45,	-1.97,	2.08
9.54,	4.29,	5.21
11.40,	-1.50,	2.39
12.79,	-6.38,	-1.47
13.64,	0.75,	0.35
11.94,	4.44,	3.51
10.66,	-2.57,	-1.25
9.30,	0.28,	0.74
7.41,	5.53,	4.84
5.32,	-2.54,	1.99
6.00,	-6.03,	0.26
9.35,	2.38,	4.81
11.13,	3.76,	5.82
13.17,	-4.87,	0.60
14.08,	-5.27,	-1.28
11.82,	2.24,	1.07
9.42,	2.17,	0.23
7.85,	0.26,	-1.48
8.34,	2.07,	1.36
7.63,	-0.55,	3.68
8.08,	-4.82,	3.10
9.59,	0.59,	4.61
10.39,	4.67,	7.93
10.50,	-4.04,	0.31
11.42,	-4.60,	-1.03
11.12,	1.09,	0.49
9.89,	1.64,	-0.75
9.35,	-0.59,	0.03
10.46,	-1.48,	-0.75
