x,	y,	z
7.05,	5.47,	5.35
7.62,	3.05,	4.91
8.84,	-7.76,	-0.40
11.37,	-3.78,	0.68
13.61,	5.34,	4.09
12.68,	0.35,	1.33
10.63,	-3.90,	-2.54
10.49,	3.60,	1.75
8.11,	2.16,	3.83
6.34,	-6.04,	-0.79
7.12,	0.59,	3.34
8.56,	6.48,	7.29
9.41,	-4.23,	3.04
10.87,	-8.33,	-0.03
13.67,	2.88,	3.74
12.54,	4.17,	3.46
9.40,	-2.53,	-2.82
8.29,	-0.12,	-0.93
8.58,	3.31,	1.89
8.97,	-1.41,	1.97
8.65,	-4.27,	1.16
9.17,	2.91,	5.68
9.11,	2.92,	7.74
9.92,	-5.69,	1.64
11.25,	-6.83,	-0.53
11.05,	1.97,	2.46
10.66,	2.39,	0.44
9.03,	-1.54,	-1.27
8.49,	-1.12,	-1.28
10.59,	2.29,	2.89
10.70,	-0.72,	2.80
10.89,	-0.94,	1.99
9.63,	3.68,	5.71
7.31,	-1.93,	3.03
7.19,	-6.14,	-0.04
8.57,	0.60,	2.38
10.61,	3.48,	3.02
12.32,	-2.93,	-0.30
12.25,	-4.41,	-2.11
12.26,	4.10,	3.10
10.01,	2.72,	3.99
9.22,	-3.45,	-0.65
7.96,	1.31,	2.77
5.91,	2.59,	4.07
6.37,	-3.29,	1.81
9.78,	-3.59,	1.39
11.82,	1.26,	3.78
12.39,	0.29,	2.12
12.69,	-2.65,	-0.78
11.96,	1.07,	0.04
9.58,	3.39,	1.87
7.99,	-1.60,	0.36
8.22,	-2.06,	-0.16
7.44,	3.61,	5.45
7.07,	0.41,	5.46
9.66,	-5.07,	1.96
11.90,	-0.80,	4.17
12.40,	0.87,	3.30
11.80,	-2.27,	-0.34
10.22,	0.59,	-0.83
8.81,	3.60,	0.57
7.03,	-1.08,	0.08
9.33,	-3.35,	-0.84
10.17,	2.98,	4.73
8.90,	2.71,	6.53
8.91,	-4.22,	2.68
10.15,	-2.44,	3.23
10.55,	0.86,	4.09
9.63,	-2.45,	0.54
10.89,	-0.46,	-0.41
10.88,	1.77,	0.88
8.78,	-1.02,	-0.61
9.17,	-1.56,	0.87
12.47,	1.96,	1.92
10.77,	3.33,	5.40
7.95,	-3.02,	2.10
7.26,	-3.42,	1.00
7.80,	1.16,	3.59
8.39,	0.54,	2.17
10.20,	-2.32,	1.05
13.00,	-1.46,	-0.25
12.96,	0.86,	1.69
11.30,	-1.41,	0.84
10.40,	-0.14,	-0.11
9.34,	5.16,	3.38
6.58,	-0.20,	2.83
5.89,	-5.32,	-0.41
7.66,	0.70,	4.36
10.30,	1.65,	5.24
11.14,	-3.53,	1.46
12.75,	-2.81,	1.27
13.63,	2.69,	1.00
10.83,	1.84,	1.77
8.85,	-3.48,	-2.63
8.82,	1.21,	0.12
7.85,	3.98,	4.79
6.38,	-3.27,	2.14
8.38,	-3.85,	3.14
10.07,	2.37,	6.16
10.44,	-0.27,	5.36
11.35,	-5.44,	0.13
12.44,	0.43,	0.96
10.81,	3.18,	1.54
7.81,	-0.93,	-1.98
7.52,	-0.14,	-0.74
11.06,	2.65,	1.79
10.15,	0.51,	3.89
8.65,	-4.40,	2.42
9.89,	0.64,	3.25
9.20,	3.45,	7.05
8.52,	-4.96,	0.81
9.72,	-3.90,	-0.46
11.26,	3.90,	2.64
