x,	y,	z
10.51,	-5.49,	0.92
12.81,	0.26,	2.77
13.12,	2.07,	3.01
11.77,	-3.30,	-1.64
10.03,	0.06,	-0.76
9.18,	4.88,	2.04
7.69,	-0.88,	1.54
7.17,	-5.01,	0.11
8.76,	3.79,	5.52
8.92,	3.91,	8.58
9.77,	-7.74,	0.57
11.29,	-3.62,	2.29
11.99,	3.60,	4.02
10.85,	-0.62,	-0.67
8.77,	-2.84,	-1.93
8.70,	2.06,	-1.24
9.27,	4.11,	3.16
9.79,	-2.45,	0.84
10.88,	-1.85,	2.07
10.03,	4.94,	6.79
8.05,	-1.17,	3.82
8.18,	-6.43,	-0.27
10.13,	0.27,	2.83
10.43,	2.17,	2.43
10.63,	-1.60,	-0.44
11.54,	-2.17,	-0.94
11.23,	1.45,	0.97
9.96,	1.11,	2.93
10.83,	-0.73,	0.90
9.83,	2.29,	3.81
7.16,	-0.46,	3.73
5.70,	-4.66,	1.07
7.69,	-0.59,	2.95
10.38,	2.87,	3.82
11.69,	-2.50,	1.46
13.27,	-4.94,	-1.51
12.94,	2.35,	1.75
10.83,	2.97,	2.70
8.25,	-2.39,	-0.77
7.71,	0.85,	1.41
7.47,	3.24,	3.76
6.85,	-2.18,	2.48
9.15,	-5.34,	1.36
11.19,	0.87,	4.00
11.83,	1.62,	4.87
12.01,	-4.62,	-0.60
12.41,	-3.78,	-1.79
10.67,	4.31,	1.68
8.34,	1.98,	0.48
7.83,	-2.13,	-0.86
9.02,	0.94,	1.95
7.92,	1.67,	5.76
7.81,	-2.52,	4.40
10.73,	-2.18,	3.75
11.56,	0.79,	4.92
10.14,	-1.79,	1.80
10.23,	-2.55,	-0.86
9.94,	1.93,	0.42
9.13,	1.22,	-0.28
9.17,	-0.73,	-0.25
10.56,	0.82,	1.69
11.48,	2.14,	4.21
9.00,	-1.20,	4.84
8.44,	-2.42,	1.86
8.25,	2.26,	4.63
8.45,	-1.39,	1.89
9.60,	-4.40,	-0.66
11.58,	-0.14,	0.88
12.54,	2.47,	0.68
10.89,	-1.29,	0.56
10.52,	-3.40,	-1.44
10.56,	4.81,	3.70
9.05,	4.11,	5.70
6.92,	-6.35,	-0.85
7.07,	-2.85,	1.33
7.72,	4.09,	5.97
8.84,	-0.93,	2.41
11.71,	-3.70,	0.59
14.14,	-0.47,	1.50
13.37,	0.96,	1.10
10.20,	-1.67,	0.28
9.30,	1.19,	-0.26
7.82,	5.60,	4.03
6.11,	-2.86,	1.94
7.25,	-6.35,	-0.70
9.96,	2.94,	5.78
10.37,	2.11,	6.07
11.21,	-5.26,	0.85
12.21,	-2.35,	1.55
11.79,	2.15,	1.04
9.78,	0.69,	-0.34
8.33,	-0.89,	-1.54
9.02,	1.68,	0.01
8.43,	1.59,	3.91
8.05,	-3.65,	2.96
9.73,	0.25,	3.90
10.69,	5.46,	8.04
9.91,	-4.79,	1.80
10.00,	-7.52,	-1.77
10.68,	3.20,	2.55
10.04,	4.46,	0.85
9.12,	-2.77,	-1.44
10.52,	-2.73,	-2.13
10.47,	4.87,	4.75
9.88,	0.97,	5.23
9.65,	-4.59,	0.35
8.64,	1.63,	4.53
6.96,	1.72,	4.66
6.85,	-4.67,	1.27
10.76,	-1.91,	0.77
12.26,	2.42,	2.70
12.33,	-1.80,	-0.49
12.50,	-2.95,	-1.52
11.40,	3.89,	2.27
9.54,	3.63,	3.86
7.63,	-3.29,	0.81
7.45,	-1.95,	1.20
7.76,	2.86,	4.25
7.21,	-1.18,	3.43
9.77,	-4.91,	0.45
12.11,	0.89,	2.87
13.31,	0.76,	2.62
12.68,	-4.44,	-1.86
10.93,	0.98,	-0.26
9.37,	5.70,	2.53
6.09,	-1.67,	1.11
6.90,	-4.47,	-0.74
9.01,	3.62,	5.96
8.97,	2.01,	5.89
10.22,	-5.71,	1.80
11.73,	-2.49,	2.64
12.08,	2.07,	3.45
10.78,	-1.03,	-0.00
9.74,	-0.14,	-1.27
9.42,	2.46,	0.64
8.38,	-0.53,	0.79
8.02,	-2.98,	1.26
10.33,	1.76,	3.68
9.84,	4.67,	7.38
9.06,	-4.12,	3.14
9.76,	-5.72,	0.85
10.05,	0.55,	3.42
9.68,	0.22,	0.87
9.86,	0.42,	-0.24
10.72,	0.44,	0.09
10.84,	-0.12,	-0.35
10.15,	-0.17,	2.63
10.06,	-0.28,	1.55
10.21,	3.48,	4.29
7.26,	-0.56,	4.04
6.42,	-5.90,	0.47
8.26,	0.03,	3.44
10.17,	3.22,	4.04
11.94,	-2.57,	0.51
13.06,	-4.34,	-1.23
13.61,	3.13,	1.47
10.86,	3.17,	3.36
8.07,	-3.60,	-1.41
8.20,	1.23,	1.60
6.97,	3.57,	4.95
6.51,	-3.78,	0.85
8.23,	-4.29,	2.09
10.89,	0.82,	3.87
11.84,	1.00,	3.68
12.49,	-3.25,	0.15
13.18,	-0.66,	-0.74
11.46,	3.35,	1.39
7.20,	-1.17,	-0.43
7.43,	-2.12,	-1.33
8.23,	5.18,	4.71
8.31,	1.99,	5.69
8.95,	-6.78,	1.20
10.37,	-2.05,	3.92
11.81,	2.86,	5.21
10.73,	-1.96,	1.33
10.81,	-3.83,	-1.52
10.57,	3.33,	0.70
8.46,	-0.02,	0.04
7.91,	-4.58,	-1.77
9.96,	-1.12,	-0.16
10.08,	7.28,	7.60
8.85,	-0.11,	5.47
9.31,	-6.24,	0.78
9.65,	0.19,	5.39
8.68,	-0.47,	2.68
8.88,	-3.07,	-0.40
11.00,	1.73,	0.77
11.98,	2.18,	0.90
10.64,	-3.67,	-0.92
10.85,	-2.83,	-0.38
10.87,	6.36,	4.60
8.61,	4.47,	6.51
6.96,	-6.15,	-0.64
7.30,	-2.41,	1.57
8.39,	2.36,	4.92
8.65,	-2.18,	1.34
12.11,	-1.41,	1.45
14.05,	1.31,	1.72
12.68,	-0.48,	1.03
10.82,	-3.45,	-0.17
9.49,	1.61,	-0.05
7.96,	7.51,	4.88
5.96,	-2.46,	1.73
6.71,	-7.45,	-1.41
9.11,	2.39,	5.81
10.03,	1.83,	5.54
11.57,	-5.24,	-0.11
13.55,	-0.92,	1.15
12.91,	2.70,	1.72
9.98,	-1.58,	-0.87
8.11,	-2.25,	-1.85
8.63,	3.30,	0.75
7.27,	3.30,	4.61
7.34,	-4.06,	2.20
10.33,	-2.13,	3.04
10.57,	3.34,	7.53
10.09,	-3.59,	2.12
10.60,	-4.77,	-0.80
11.21,	3.17,	2.64
10.13,	1.57,	0.06
8.69,	-2.90,	-1.66
9.59,	-0.63,	-0.42
10.29,	4.05,	3.54
8.64,	1.25,	5.11
9.40,	-2.97,	1.77
9.93,	1.44,	4.42
8.55,	-0.97,	4.72
7.78,	-7.00,	-0.13
9.91,	1.11,	1.55
11.27,	7.07,	3.99
11.75,	-3.68,	-1.14
11.43,	-7.63,	-3.87
12.45,	5.52,	3.07
10.18,	7.46,	6.06
6.80,	-4.98,	0.08
7.49,	-3.03,	0.27
7.35,	4.81,	6.28
6.88,	-2.31,	3.10
9.66,	-6.63,	-0.43
12.48,	2.53,	3.43
13.76,	2.61,	3.59
12.19,	-6.25,	-2.21
11.71,	-0.63,	-0.61
10.63,	7.03,	3.88
5.86,	-0.97,	0.74
6.24,	-3.96,	-1.10
8.36,	3.34,	5.39
8.55,	0.81,	4.89
9.50,	-6.21,	1.59
11.98,	-2.13,	2.21
13.34,	3.52,	3.88
11.92,	-1.25,	0.12
9.78,	-2.45,	-2.43
9.29,	2.89,	0.62
7.87,	1.33,	1.12
7.59,	-3.08,	0.78
9.58,	0.86,	3.37
10.29,	4.77,	7.21
9.63,	-5.26,	3.08
10.25,	-6.84,	-0.16
10.46,	2.92,	4.79
10.35,	1.67,	1.11
9.52,	-2.82,	-1.11
10.20,	-1.26,	-1.30
10.79,	3.48,	2.13
9.34,	0.65,	2.86
9.63,	-1.85,	0.95
9.80,	4.36,	5.63
8.07,	0.14,	4.67
7.44,	-6.90,	-0.09
9.28,	-1.50,	2.40
9.95,	3.58,	3.49
10.25,	0.21,	1.21
12.45,	-3.56,	-1.24
13.53,	-0.22,	0.01
11.48,	2.37,	2.74
8.99,	-0.73,	0.55
7.93,	1.46,	1.51
6.65,	3.14,	4.81
6.26,	-2.98,	2.14
7.50,	-4.84,	1.99
10.57,	0.75,	3.75
11.91,	1.30,	4.17
13.41,	-3.86,	0.08
13.15,	-1.23,	-0.53
11.89,	3.62,	2.16
8.38,	-0.54,	0.04
7.09,	-2.58,	-0.71
7.07,	4.24,	3.49
7.51,	3.75,	5.62
8.75,	-7.58,	0.93
10.30,	-5.01,	1.52
12.03,	4.50,	6.73
11.84,	-0.36,	1.75
11.61,	-3.71,	-1.94
10.35,	1.49,	-0.03
8.40,	2.04,	0.33
7.44,	-2.01,	-1.06
9.82,	0.74,	1.28
9.34,	4.26,	6.13
9.18,	-2.54,	3.63
10.65,	-4.49,	1.76
10.09,	0.74,	4.57
8.92,	-0.07,	2.79
9.66,	-1.57,	-0.31
10.59,	0.63,	0.45
10.83,	-0.55,	-0.46
10.61,	-1.79,	-0.49
