x,	y,	z
6.76,	-5.03,	0.83
6.89,	3.49,	7.20
6.95,	1.14,	6.81
9.59,	-4.64,	2.15
11.46,	-0.05,	3.67
12.11,	1.20,	0.58
11.06,	-0.93,	-1.31
11.24,	0.68,	-0.69
11.96,	1.20,	0.01
10.57,	1.55,	1.71
9.16,	-0.40,	4.34
8.85,	-1.98,	2.12
7.67,	1.66,	6.04
6.49,	-0.84,	2.15
7.20,	-2.33,	1.32
10.26,	-3.56,	0.12
11.77,	-0.55,	-1.88
10.74,	4.09,	3.97
12.74,	-2.05,	-0.95
14.72,	2.18,	1.70
12.41,	3.92,	5.54
8.41,	-3.22,	0.10
6.73,	0.70,	3.25
3.84,	-1.39,	2.79
4.05,	-5.21,	0.14
8.95,	1.38,	3.72
12.14,	-0.54,	2.98
13.87,	-2.03,	-1.71
13.78,	4.61,	5.03
14.12,	0.48,	-1.69
12.84,	1.64,	0.35
8.45,	-2.28,	1.26
6.84,	-2.50,	-1.43
5.36,	1.87,	4.69
4.86,	-2.32,	2.21
5.93,	-4.25,	2.21
10.93,	1.87,	4.76
12.84,	2.53,	4.38
13.70,	-1.69,	1.12
13.29,	-1.34,	-0.07
11.83,	4.92,	-0.06
9.44,	3.76,	1.14
8.01,	-5.57,	-1.93
8.40,	-3.35,	0.98
7.48,	2.41,	6.62
5.88,	-0.85,	5.66
8.11,	-1.48,	4.36
10.90,	-0.37,	3.77
12.08,	-1.48,	-0.56
10.81,	0.32,	0.57
10.93,	0.31,	-1.65
12.85,	3.50,	-0.73
11.74,	-0.16,	2.41
9.82,	-5.23,	-1.33
9.19,	4.87,	7.42
7.43,	1.96,	6.66
5.03,	-5.42,	0.06
5.77,	0.89,	4.46
9.38,	-1.16,	0.24
10.66,	-5.11,	-1.68
12.07,	0.40,	0.84
13.83,	5.19,	1.24
14.14,	1.11,	2.46
12.64,	-4.86,	-0.46
10.23,	3.45,	3.93
7.23,	4.20,	6.01
3.65,	-4.89,	-0.74
3.54,	-2.50,	2.67
8.25,	-0.54,	1.56
11.26,	0.27,	1.72
13.12,	-2.83,	1.48
14.23,	-1.98,	-1.27
13.80,	6.40,	4.05
12.45,	2.35,	0.50
9.18,	-3.66,	-0.88
8.25,	0.06,	0.70
5.59,	-0.66,	3.60
5.43,	-3.66,	0.64
6.56,	0.43,	6.13
9.59,	-0.29,	3.85
12.32,	0.92,	4.14
13.39,	0.02,	2.51
