x,	y,	z
11.72,	2.63,	1.74
10.83,	-3.08,	-2.91
8.93,	1.19,	1.88
7.18,	-0.39,	1.67
5.54,	-1.05,	3.11
6.52,	0.30,	5.69
9.45,	-2.79,	3.42
10.76,	-1.02,	4.37
11.68,	1.19,	3.08
11.57,	-0.68,	0.01
11.67,	1.51,	-0.92
10.61,	1.68,	1.04
10.43,	-0.91,	-2.11
9.54,	3.22,	3.85
8.57,	-4.52,	2.06
8.02,	-4.43,	1.69
7.79,	4.83,	7.19
7.86,	0.14,	3.18
9.74,	-6.15,	-0.16
10.80,	-1.42,	-0.19
10.44,	4.95,	2.21
10.76,	-0.04,	0.01
13.57,	-2.33,	-0.67
13.50,	2.43,	2.40
10.39,	1.19,	3.58
8.30,	-1.77,	2.09
5.63,	-0.14,	3.38
4.76,	-1.07,	3.29
6.78,	-1.78,	0.77
9.98,	-0.40,	3.46
12.36,	-4.42,	-2.79
13.66,	4.37,	1.19
13.13,	0.04,	2.40
14.52,	-3.97,	-4.81
10.62,	5.66,	6.56
8.20,	-0.56,	1.29
5.66,	-2.24,	1.03
5.12,	1.67,	4.07
6.52,	-3.35,	1.14
8.36,	-2.18,	2.31
11.79,	0.60,	3.93
14.17,	0.76,	1.28
12.83,	0.14,	2.95
12.54,	-0.83,	-2.02
10.49,	5.03,	2.69
8.62,	-0.54,	-0.42
7.25,	-5.37,	-0.26
7.16,	0.78,	3.59
6.15,	1.33,	5.97
7.38,	-2.97,	3.65
11.18,	-1.66,	4.27
12.77,	-0.08,	1.94
11.14,	2.32,	1.85
10.06,	-0.80,	-0.73
12.06,	1.13,	-1.69
11.87,	3.80,	2.31
8.84,	-3.18,	0.42
9.31,	-1.23,	2.31
8.58,	2.08,	6.10
6.44,	-2.73,	3.12
6.86,	-0.31,	3.16
8.93,	1.04,	3.69
10.45,	-4.86,	-2.15
11.07,	0.30,	0.30
10.49,	3.51,	2.95
14.10,	0.10,	-1.43
14.15,	1.81,	2.18
11.82,	-1.80,	1.03
9.43,	-0.42,	2.01
5.70,	2.48,	4.73
3.63,	-2.57,	1.98
5.57,	-3.52,	1.33
9.15,	0.60,	3.10
11.74,	-2.15,	0.88
12.63,	-2.02,	-0.18
14.12,	1.79,	2.02
14.73,	2.08,	0.27
11.06,	2.08,	2.79
8.95,	-1.78,	0.48
6.00,	-0.43,	2.55
5.25,	0.41,	3.18
5.35,	-2.03,	2.63
7.50,	-2.45,	3.51
11.83,	0.25,	3.26
12.59,	2.68,	4.40
12.84,	-2.09,	0.61
13.27,	-1.13,	-1.64
11.01,	5.64,	2.27
8.70,	-0.68,	-0.44
8.69,	-2.92,	-0.52
8.08,	1.18,	4.68
6.35,	-3.12,	3.68
6.43,	-1.00,	4.90
9.75,	1.34,	5.49
11.75,	-3.37,	1.22
11.88,	-0.95,	0.15
10.06,	2.16,	1.41
11.41,	2.15,	-1.72
11.75,	2.75,	1.76
11.25,	-4.55,	-1.36
10.42,	0.28,	1.97
8.05,	3.36,	6.89
7.26,	-3.93,	1.45
5.77,	-0.92,	4.04
7.44,	1.27,	2.79
10.14,	-2.69,	0.49
10.31,	-4.74,	-0.83
13.14,	3.96,	0.20
13.09,	6.66,	4.98
13.07,	-5.78,	-2.55
13.44,	-0.14,	0.66
8.85,	3.42,	5.78
5.73,	-3.99,	-0.63
3.38,	0.88,	3.83
5.14,	0.53,	3.74
9.93,	-3.66,	-0.13
11.75,	-0.59,	3.29
13.54,	-0.59,	-0.25
14.29,	2.96,	1.88
13.17,	0.55,	0.94
12.22,	-0.70,	-1.42
8.38,	0.98,	2.38
6.83,	-1.33,	0.28
4.96,	-1.95,	2.79
5.84,	-1.03,	2.73
7.72,	0.14,	4.66
10.54,	-0.66,	3.65
13.18,	-0.88,	3.03
13.80,	0.71,	0.92
12.24,	3.16,	1.11
10.42,	-0.68,	-1.09
9.71,	-0.28,	-1.26
8.91,	2.89,	2.73
7.64,	-3.82,	2.05
7.71,	-3.84,	3.01
7.32,	2.50,	7.06
7.59,	-0.12,	4.31
11.03,	-1.93,	2.19
11.96,	-2.80,	0.96
11.82,	1.71,	-1.16
9.35,	4.16,	3.64
11.73,	-2.29,	-2.90
13.20,	1.91,	2.40
10.30,	-1.54,	2.60
8.34,	-1.73,	1.83
7.04,	2.14,	5.61
5.42,	-2.17,	1.68
6.49,	-2.33,	1.19
9.79,	0.45,	2.61
11.51,	-3.49,	-1.70
13.36,	2.08,	-0.03
13.14,	0.59,	2.77
14.26,	-2.85,	-2.97
12.36,	6.27,	6.02
9.13,	-0.47,	3.01
5.59,	-3.75,	-0.34
3.72,	3.19,	5.51
5.06,	-1.67,	0.74
8.36,	-4.05,	1.47
13.22,	-2.32,	1.25
14.58,	3.26,	1.45
12.27,	1.01,	3.81
13.13,	-4.84,	-3.73
11.82,	6.74,	4.25
9.08,	2.58,	2.79
6.23,	-5.95,	-2.10
6.19,	0.73,	4.05
6.09,	-1.67,	3.01
6.57,	-2.62,	2.44
10.38,	1.73,	6.33
13.30,	-2.29,	1.56
13.54,	1.55,	1.31
11.69,	3.58,	2.24
11.00,	-0.99,	-3.66
10.59,	2.59,	-0.04
8.26,	-2.47,	1.65
8.90,	-4.72,	-0.83
8.22,	4.89,	9.04
7.08,	-1.52,	4.66
7.02,	-3.17,	2.70
8.88,	2.63,	5.00
11.94,	-2.24,	0.08
11.23,	-5.31,	-2.31
10.84,	3.58,	1.91
11.92,	4.63,	2.02
12.50,	-0.51,	1.98
11.36,	-4.35,	1.64
9.27,	3.09,	4.23
6.43,	3.32,	7.10
4.60,	-4.69,	-0.69
4.99,	-1.77,	2.78
10.54,	-0.53,	0.53
11.28,	-1.76,	0.69
12.97,	0.16,	0.46
14.19,	2.50,	1.41
14.54,	1.20,	0.72
12.46,	0.59,	1.55
8.89,	-0.02,	1.81
6.42,	-0.58,	1.83
3.24,	-2.00,	2.37
3.49,	-1.39,	1.98
9.25,	-0.06,	3.67
12.45,	-3.09,	1.43
14.20,	-1.50,	1.51
13.32,	3.25,	3.25
13.03,	0.93,	0.14
11.73,	0.71,	-0.25
9.85,	1.43,	1.15
7.41,	-1.58,	0.22
6.63,	-0.84,	2.20
6.14,	-2.60,	4.42
6.51,	-4.11,	3.09
9.57,	3.93,	6.45
11.11,	1.65,	5.02
13.23,	-5.52,	-1.89
12.91,	0.94,	0.02
10.95,	4.56,	0.50
9.86,	-0.07,	-1.62
10.05,	-1.85,	0.61
10.38,	-0.44,	2.20
7.83,	1.26,	5.43
7.06,	-0.65,	4.82
6.75,	-1.57,	3.29
7.53,	-0.54,	2.60
10.59,	-0.21,	1.55
11.36,	-3.18,	0.28
12.97,	0.60,	-2.05
12.37,	6.59,	4.62
12.02,	-3.15,	-1.24
13.32,	-0.85,	0.91
9.67,	2.25,	5.41
6.59,	-3.01,	1.84
4.28,	-0.39,	2.75
4.39,	1.48,	3.58
8.49,	-3.58,	-0.21
11.48,	-2.98,	0.73
13.32,	0.61,	0.91
14.44,	4.10,	2.05
13.43,	-0.48,	1.81
13.70,	-2.43,	-1.65
10.08,	5.06,	4.63
6.53,	-0.66,	1.68
4.08,	-4.35,	0.41
3.98,	0.46,	4.18
6.97,	0.16,	2.78
10.22,	-1.48,	3.76
14.13,	-3.04,	1.06
14.87,	2.01,	1.53
12.55,	4.51,	2.34
10.87,	-2.32,	-1.96
10.17,	0.41,	-0.88
8.91,	3.52,	3.62
6.20,	-3.98,	1.00
6.69,	-2.52,	3.53
7.60,	0.06,	5.86
7.68,	-1.75,	3.95
10.46,	1.90,	4.65
12.33,	-1.25,	2.22
13.16,	-2.11,	-3.52
11.21,	4.27,	2.70
10.33,	-0.04,	-2.30
10.72,	1.78,	0.81
10.36,	-1.66,	3.04
9.11,	-5.04,	1.22
7.20,	3.98,	6.43
6.22,	2.72,	4.95
6.25,	-4.89,	-0.23
8.52,	-2.44,	1.58
13.10,	1.43,	0.43
12.17,	0.35,	0.54
12.56,	-1.49,	-0.22
13.52,	1.52,	1.23
13.11,	3.94,	4.12
9.84,	-2.27,	2.36
6.83,	-1.10,	2.20
4.64,	1.55,	5.54
4.33,	-2.66,	-0.79
6.28,	-0.67,	3.16
