x,	y,	z
13.48,	6.00,	1.46
10.55,	-1.95,	-0.28
9.17,	-6.36,	-3.32
6.90,	4.49,	5.01
6.31,	2.33,	5.14
7.27,	-6.11,	2.15
8.69,	-2.55,	5.07
11.13,	2.08,	3.48
10.82,	1.07,	2.16
10.35,	-2.98,	-2.54
12.15,	1.12,	-2.18
11.97,	4.85,	1.61
11.59,	-1.89,	-0.32
10.57,	-3.92,	0.72
9.49,	3.71,	5.65
7.39,	1.34,	6.49
7.00,	-4.14,	1.10
7.44,	-0.93,	3.95
8.25,	-1.75,	-0.00
8.72,	-0.91,	0.57
10.65,	-0.22,	0.63
13.29,	0.54,	-1.17
14.75,	5.46,	2.72
12.34,	-0.63,	2.39
12.03,	-1.76,	-0.31
9.85,	6.29,	7.61
4.71,	-4.12,	1.70
3.51,	-6.35,	-0.43
5.77,	2.29,	4.74
9.29,	-1.22,	0.96
10.99,	-5.51,	0.07
13.83,	1.33,	0.27
14.61,	7.59,	4.92
13.85,	-1.36,	-0.08
11.51,	-2.62,	-0.03
9.47,	4.71,	4.30
4.96,	0.15,	2.39
4.03,	-4.86,	1.09
7.11,	-3.07,	3.29
9.06,	-0.08,	2.50
10.71,	1.57,	5.62
11.91,	-4.43,	0.11
13.60,	3.22,	0.90
12.44,	7.97,	4.06
10.69,	-3.26,	-2.45
9.83,	-5.64,	-2.25
8.76,	3.05,	3.77
6.20,	1.70,	4.92
6.99,	-3.44,	3.39
8.82,	-2.00,	4.98
10.36,	-0.29,	2.76
10.26,	0.88,	2.75
9.47,	-3.01,	-1.44
12.00,	1.24,	-3.76
11.56,	3.60,	3.40
11.36,	-5.68,	-3.83
11.32,	4.15,	5.05
9.92,	4.02,	7.70
7.22,	-4.75,	1.07
6.63,	-0.11,	4.86
7.10,	-0.80,	2.83
6.78,	-4.97,	-1.07
8.96,	-0.78,	2.09
11.71,	0.57,	-0.48
12.85,	4.33,	3.06
13.50,	0.23,	1.81
14.09,	0.34,	0.27
11.64,	3.84,	5.53
8.20,	-1.14,	2.12
5.62,	-2.27,	3.07
4.12,	-0.91,	2.90
4.65,	-2.46,	2.47
9.06,	-1.82,	2.22
11.33,	-2.66,	2.27
15.30,	2.49,	-0.55
13.66,	6.55,	5.86
12.42,	-3.53,	-3.15
12.72,	1.62,	0.40
9.09,	1.59,	3.20
5.34,	-4.15,	-0.74
4.36,	0.18,	4.33
6.57,	0.12,	4.09
9.07,	-4.33,	1.92
10.34,	-0.78,	3.58
13.23,	2.30,	1.62
13.31,	1.53,	0.59
11.31,	-1.52,	-1.88
12.54,	2.74,	-1.88
9.84,	0.56,	2.34
9.12,	-5.99,	-2.43
7.15,	1.91,	6.44
7.39,	2.58,	6.43
7.95,	-2.90,	3.69
8.83,	-3.37,	3.49
10.33,	-0.41,	1.07
10.10,	1.82,	0.88
9.66,	-0.58,	-0.92
12.06,	-0.54,	-1.28
14.09,	2.79,	0.94
12.40,	1.11,	2.53
9.69,	-2.09,	1.72
8.76,	2.48,	5.13
5.97,	-1.02,	3.55
5.85,	-4.51,	0.52
6.73,	-0.92,	2.61
8.69,	-1.50,	0.65
12.08,	0.13,	0.10
12.27,	1.38,	2.40
14.53,	1.42,	-0.85
14.66,	5.72,	3.19
10.88,	-3.11,	1.90
9.19,	-4.01,	-1.08
5.75,	4.45,	7.34
3.68,	-2.04,	1.07
4.92,	-4.47,	2.32
8.58,	-1.25,	2.93
12.83,	1.39,	1.88
13.29,	-0.07,	3.20
14.10,	-1.09,	-1.34
12.98,	6.90,	2.89
10.65,	0.72,	1.50
9.36,	-7.27,	-2.87
6.75,	2.42,	4.11
5.26,	3.29,	5.87
6.34,	-4.37,	1.26
8.60,	-2.94,	4.74
11.92,	-0.50,	1.82
12.27,	4.46,	3.66
10.96,	-2.55,	-0.34
12.17,	-3.55,	-5.29
10.84,	6.49,	3.84
10.89,	-0.40,	-0.71
9.85,	-3.75,	-0.02
9.25,	3.39,	5.48
6.73,	-2.00,	5.43
7.29,	-4.68,	1.37
9.26,	2.27,	6.51
9.25,	-2.86,	0.70
9.33,	-1.32,	-0.59
9.21,	2.17,	2.80
13.22,	1.60,	-2.07
13.78,	3.83,	2.52
12.64,	-4.59,	-0.38
12.09,	-2.10,	-0.73
7.97,	6.69,	8.86
5.45,	-3.37,	2.00
5.63,	-3.82,	1.17
6.21,	1.83,	4.98
8.80,	-2.19,	-0.17
10.17,	-3.72,	0.98
13.34,	-1.22,	-1.13
14.50,	6.95,	3.78
13.02,	2.22,	2.43
11.89,	-3.71,	-0.40
11.11,	2.67,	3.41
6.35,	0.81,	3.82
3.59,	-4.18,	0.24
5.10,	-1.05,	3.79
8.60,	-1.08,	1.86
10.98,	-0.43,	3.49
12.17,	-1.97,	2.08
14.36,	2.90,	0.92
12.47,	5.02,	3.35
10.39,	-0.92,	-1.33
9.96,	-0.62,	0.93
8.63,	-1.09,	1.08
6.08,	-1.11,	3.48
5.60,	-1.47,	3.95
8.55,	-0.64,	3.96
10.76,	-1.80,	3.90
11.32,	-1.82,	0.97
11.34,	2.47,	2.33
11.60,	0.58,	-1.73
10.31,	1.30,	0.03
10.33,	-1.25,	0.41
11.57,	-0.14,	-0.07
9.92,	4.62,	6.34
7.76,	-3.53,	2.95
7.71,	-3.52,	2.79
8.23,	1.09,	4.44
8.89,	-1.18,	0.73
7.70,	-4.80,	0.47
10.86,	-1.65,	-3.39
11.37,	7.55,	5.88
12.29,	-2.07,	-0.29
14.65,	-0.07,	-0.44
12.61,	5.88,	7.56
7.99,	-2.95,	0.52
5.95,	-1.36,	3.18
5.21,	-0.11,	3.66
5.85,	-4.53,	0.49
8.10,	-1.59,	1.87
10.66,	0.25,	2.43
14.55,	0.62,	-0.85
14.39,	3.10,	2.46
12.90,	-0.58,	-0.82
11.81,	2.37,	1.75
10.14,	1.30,	3.51
