x,	y,	z
6.13,	-1.48,	3.20
9.06,	-1.58,	1.47
9.82,	-0.95,	1.27
10.83,	0.86,	3.12
15.37,	0.65,	-0.70
15.98,	2.66,	2.28
11.94,	-1.31,	-0.44
9.67,	1.98,	1.48
6.74,	0.36,	2.75
5.15,	-4.10,	-0.54
4.11,	-0.68,	4.17
7.60,	0.01,	2.80
11.03,	-1.62,	3.04
12.15,	-1.59,	2.47
13.51,	2.16,	2.34
13.49,	2.58,	1.23
11.49,	-0.55,	-1.29
9.82,	0.19,	-0.39
7.69,	0.39,	1.30
6.92,	-1.67,	1.45
6.87,	-2.19,	4.92
7.51,	-2.35,	4.88
10.25,	2.35,	5.11
10.89,	0.91,	5.21
11.13,	-4.88,	-2.99
11.32,	1.70,	0.15
11.03,	3.53,	-0.25
10.93,	-1.47,	-1.59
11.33,	-0.32,	0.09
10.49,	2.45,	3.72
8.27,	-0.97,	3.26
7.42,	-0.24,	4.63
7.09,	-0.53,	4.23
8.05,	-2.39,	0.98
8.74,	-0.63,	2.29
9.64,	-2.04,	0.60
13.07,	1.52,	-0.88
12.76,	4.37,	3.69
12.70,	-3.52,	-2.01
12.55,	1.50,	2.29
9.36,	1.61,	4.85
6.53,	-3.68,	0.86
3.96,	1.38,	4.54
4.98,	0.70,	3.46
9.50,	-4.39,	-0.14
10.67,	-3.02,	1.36
12.75,	1.70,	0.38
14.55,	5.74,	3.11
13.88,	-4.09,	0.35
13.88,	-4.46,	-3.73
10.58,	7.66,	5.09
6.25,	-1.15,	1.58
5.39,	-8.84,	-3.98
4.90,	2.00,	5.80
6.36,	1.97,	3.60
10.18,	-2.23,	3.22
11.84,	-3.67,	2.95
14.56,	3.72,	1.35
12.50,	6.23,	5.25
11.32,	-4.53,	-4.89
11.20,	-0.19,	-1.90
8.60,	2.05,	2.06
7.14,	-3.21,	0.08
7.31,	-0.60,	4.56
8.02,	0.89,	6.45
8.35,	-3.09,	3.31
10.78,	0.76,	3.40
11.17,	-2.04,	1.11
11.66,	-3.55,	-4.99
10.10,	3.94,	3.33
10.91,	-0.66,	-1.71
11.92,	2.47,	1.73
10.44,	2.75,	5.09
8.75,	-5.46,	0.48
8.30,	1.38,	4.15
6.53,	2.38,	4.91
6.62,	-5.04,	-0.87
8.44,	-2.50,	2.30
10.52,	1.04,	0.52
11.84,	2.55,	3.19
12.46,	-3.49,	-0.62
14.57,	2.05,	0.89
12.53,	6.61,	6.13
9.04,	-3.11,	0.55
7.51,	-2.90,	1.35
4.36,	1.47,	4.73
2.91,	-2.52,	1.90
8.34,	-0.05,	2.57
10.90,	-2.04,	3.90
13.60,	-1.95,	-2.69
13.08,	7.73,	7.41
13.86,	-3.50,	-2.52
14.83,	-1.96,	-2.85
9.84,	4.17,	4.35
6.84,	-1.24,	-0.32
5.93,	-1.78,	1.48
5.49,	-0.33,	3.56
6.09,	-3.50,	1.96
9.45,	0.81,	4.01
12.73,	-0.69,	3.76
13.99,	-2.92,	-1.04
12.15,	3.73,	2.92
11.75,	1.99,	-1.08
10.49,	1.59,	-1.00
8.46,	-0.57,	1.26
8.60,	-4.17,	-0.31
7.96,	2.69,	5.63
7.01,	-0.28,	6.11
7.62,	-5.25,	2.29
10.10,	0.93,	4.37
11.50,	1.82,	2.14
9.91,	-3.65,	-1.51
11.02,	-1.97,	-2.34
12.79,	6.03,	2.14
11.62,	1.80,	2.30
10.52,	-4.15,	0.18
10.37,	2.23,	4.70
7.14,	0.25,	4.52
5.41,	-3.59,	1.06
6.07,	0.64,	4.00
8.37,	-1.58,	0.79
10.46,	-1.40,	0.41
11.31,	1.14,	2.56
14.39,	1.13,	-0.20
15.05,	2.35,	1.87
12.11,	-0.94,	1.20
10.42,	0.43,	1.18
6.98,	1.22,	3.84
4.69,	-3.21,	0.74
3.07,	-2.14,	3.36
6.42,	0.30,	2.49
