x,	y,	z
14.90,	3.20,	0.10
14.58,	3.08,	3.04
13.41,	-4.52,	-2.60
11.64,	4.40,	4.84
8.06,	4.49,	6.30
4.44,	-4.91,	-0.68
3.50,	-0.90,	3.46
6.57,	-2.40,	1.77
9.55,	-3.25,	0.28
11.41,	-1.05,	3.31
14.20,	0.59,	-0.74
13.88,	4.77,	4.55
11.92,	-2.77,	-0.71
11.58,	2.23,	0.38
9.22,	4.94,	5.03
5.91,	-5.66,	-1.10
5.69,	-3.94,	2.52
7.31,	1.33,	5.37
8.99,	-0.30,	3.44
10.19,	-1.98,	3.55
11.89,	-1.30,	0.17
11.94,	4.93,	2.37
10.79,	0.55,	-0.17
11.79,	-2.34,	-2.73
10.87,	2.33,	2.42
9.55,	1.51,	2.76
8.32,	-2.23,	4.28
8.45,	-0.97,	4.16
7.35,	0.31,	6.59
8.24,	-1.98,	0.40
8.16,	-0.46,	3.21
10.09,	-3.62,	-3.43
12.00,	3.92,	-0.55
11.58,	0.22,	1.63
14.62,	-3.15,	-4.94
12.30,	5.58,	7.32
10.10,	-1.38,	2.76
7.44,	-0.96,	2.94
6.33,	3.45,	6.15
5.51,	-4.65,	1.02
5.61,	-6.44,	-0.71
9.53,	1.92,	3.34
12.40,	1.25,	0.57
13.60,	-0.93,	0.31
14.96,	0.74,	0.66
14.14,	3.40,	2.01
10.94,	1.33,	2.73
7.48,	-1.28,	1.79
5.24,	-0.12,	3.22
3.64,	-1.22,	2.29
5.16,	-2.60,	2.58
9.99,	-2.82,	2.42
11.75,	-1.43,	2.58
13.35,	3.64,	2.84
12.16,	1.74,	3.35
12.79,	-1.33,	-3.23
11.96,	5.06,	2.26
8.87,	-2.66,	-0.38
7.63,	-5.10,	-2.05
6.50,	2.08,	6.70
6.37,	-1.90,	3.98
8.57,	-1.60,	3.95
10.27,	1.15,	5.30
11.68,	-1.81,	-1.00
11.68,	1.20,	-0.01
10.72,	-0.31,	-1.05
12.27,	0.51,	-3.27
11.37,	4.07,	4.24
9.59,	-4.76,	0.55
9.90,	0.64,	3.13
8.38,	6.70,	10.47
6.21,	-6.04,	0.24
7.06,	-4.78,	1.37
8.24,	1.18,	2.80
9.19,	-0.77,	-0.92
10.56,	-1.39,	0.70
13.06,	0.06,	-1.24
14.33,	6.47,	3.71
12.71,	0.13,	2.85
11.19,	-4.04,	-1.10
9.02,	5.91,	7.18
4.77,	-2.21,	2.38
5.00,	-6.18,	-1.69
6.54,	-0.35,	4.52
9.18,	-1.97,	-0.42
11.42,	0.51,	3.10
12.94,	-1.04,	0.74
15.84,	3.94,	0.51
13.67,	5.06,	4.03
10.66,	-4.46,	-2.02
9.83,	0.66,	1.05
5.43,	1.99,	4.22
3.68,	-5.00,	0.10
5.83,	-1.45,	3.85
9.11,	0.97,	4.64
12.05,	-1.82,	2.09
12.33,	-0.95,	2.30
12.54,	2.84,	0.86
12.55,	4.31,	1.02
9.82,	-2.07,	-0.48
10.79,	-4.22,	-2.11
9.79,	0.95,	1.43
6.91,	1.11,	4.91
6.18,	-4.53,	3.06
8.30,	-0.92,	5.21
10.20,	2.01,	5.13
10.14,	-1.19,	1.29
10.36,	-3.04,	-0.48
12.15,	1.67,	-1.77
11.55,	4.91,	1.41
10.99,	-1.47,	-0.64
11.58,	-1.96,	0.34
10.82,	2.73,	5.04
8.75,	0.22,	5.09
6.57,	-2.15,	2.93
6.77,	-0.26,	4.05
7.39,	-2.74,	-0.22
7.81,	-1.74,	1.16
10.51,	-1.63,	-0.26
13.58,	2.88,	-0.50
13.70,	2.33,	2.58
13.70,	-3.19,	-2.01
11.91,	2.37,	4.11
9.81,	3.17,	4.33
5.37,	-2.54,	2.85
3.98,	-2.29,	2.41
6.18,	-1.02,	2.97
8.26,	-2.90,	0.51
10.67,	-2.11,	2.30
13.53,	-0.64,	-0.38
14.39,	6.06,	4.15
12.93,	-0.41,	1.33
12.13,	-1.29,	-1.33
10.29,	5.04,	4.97
6.16,	-1.91,	0.84
4.64,	-4.31,	0.40
6.06,	-0.14,	4.63
8.22,	-1.04,	2.67
10.75,	-0.72,	4.39
12.02,	-2.79,	2.02
13.14,	3.83,	1.05
10.72,	5.50,	4.15
10.57,	-3.52,	-4.41
10.99,	0.23,	0.01
10.12,	-1.07,	1.69
7.87,	-2.74,	1.50
7.04,	1.81,	6.92
7.80,	-0.72,	4.62
8.84,	-3.25,	2.47
9.85,	0.42,	2.38
10.16,	-1.02,	0.04
11.85,	-1.17,	-3.51
10.75,	2.21,	2.24
11.82,	0.08,	-1.78
12.01,	4.18,	4.63
10.64,	-0.61,	4.31
9.23,	-3.45,	2.38
7.40,	3.29,	6.59
5.13,	-1.20,	2.46
5.68,	-6.28,	-0.66
8.75,	-1.62,	1.13
11.13,	2.21,	0.62
12.02,	0.93,	2.19
14.03,	-1.84,	-1.22
14.80,	4.97,	3.08
11.79,	2.45,	4.23
8.88,	-3.52,	-0.61
6.78,	3.02,	5.37
3.63,	-2.21,	2.22
5.11,	-5.63,	-0.28
8.80,	-0.31,	4.02
10.86,	-1.76,	1.23
13.93,	1.43,	1.57
13.40,	2.52,	3.40
13.04,	-0.41,	-1.69
12.11,	4.27,	2.13
9.42,	-1.68,	1.06
7.76,	-4.88,	-2.49
5.53,	2.91,	5.61
5.52,	-1.16,	3.12
8.32,	-3.40,	2.58
10.64,	0.64,	5.55
12.80,	-0.12,	0.89
11.99,	0.79,	1.41
10.97,	-0.16,	-1.42
11.03,	2.56,	-1.29
10.48,	1.60,	1.64
10.02,	-6.06,	-0.43
9.39,	0.27,	2.66
7.37,	6.81,	10.22
6.80,	-4.79,	0.82
8.28,	-4.03,	2.40
9.99,	-0.15,	1.59
9.93,	0.98,	-0.32
10.01,	-2.46,	-0.42
12.34,	-1.46,	-3.33
12.64,	7.04,	3.98
11.42,	0.89,	2.26
12.25,	-4.03,	-0.06
11.17,	4.27,	6.01
6.71,	-1.61,	4.26
4.30,	-5.47,	-0.80
5.20,	1.64,	5.01
8.53,	-2.49,	-0.05
10.50,	-2.59,	0.26
12.17,	1.39,	2.43
14.64,	4.04,	1.04
14.05,	3.78,	2.36
11.21,	-3.42,	0.67
10.38,	-2.13,	0.21
6.36,	4.71,	6.05
3.93,	-2.01,	2.47
5.64,	-4.70,	1.42
8.44,	0.02,	4.25
11.66,	0.02,	1.70
12.21,	-1.52,	2.93
14.59,	0.22,	-1.13
13.22,	6.54,	3.16
9.71,	-1.24,	-0.13
10.06,	-5.02,	-3.38
8.68,	2.59,	3.25
6.44,	0.97,	3.29
5.61,	-4.14,	2.29
8.41,	-1.11,	4.24
11.25,	0.16,	4.12
11.42,	-0.71,	2.23
11.35,	-0.37,	0.52
11.37,	0.08,	-1.71
10.41,	3.34,	0.71
9.64,	-0.03,	0.74
11.66,	-2.14,	0.19
10.87,	1.15,	4.42
7.34,	-0.80,	5.39
6.45,	-2.17,	3.53
8.32,	0.48,	3.88
8.53,	-2.59,	1.51
8.85,	-2.15,	-0.43
10.06,	1.04,	1.99
12.03,	1.32,	-0.87
12.58,	3.04,	2.17
12.25,	-0.64,	1.10
12.11,	0.87,	1.90
11.47,	3.72,	5.42
7.79,	-2.60,	2.70
5.21,	-3.01,	2.45
4.53,	0.72,	3.33
6.69,	-0.94,	1.07
9.95,	-4.72,	0.67
13.00,	-3.03,	-1.35
13.85,	8.54,	5.95
12.06,	0.70,	3.03
12.79,	-2.01,	-1.97
10.98,	5.81,	6.96
6.93,	-2.80,	-0.03
4.83,	-3.07,	0.71
4.95,	0.39,	5.04
7.71,	-3.19,	0.79
10.73,	-0.13,	4.03
12.11,	-0.73,	3.05
14.45,	1.77,	-0.04
12.63,	4.53,	4.10
10.53,	-1.37,	-2.93
9.77,	0.88,	0.36
9.58,	-2.32,	0.26
7.66,	-3.67,	0.33
6.28,	2.24,	5.64
7.45,	0.40,	5.04
9.89,	-3.51,	2.93
11.37,	-0.85,	2.89
11.32,	1.52,	1.10
11.30,	0.31,	-1.48
9.81,	0.51,	-0.48
10.54,	0.17,	-0.78
10.79,	1.96,	2.86
10.99,	-1.22,	4.04
9.18,	-2.19,	2.66
7.81,	3.45,	7.26
6.76,	-2.57,	1.96
7.64,	-4.79,	-0.64
9.07,	-1.15,	1.74
10.62,	-0.09,	-1.23
11.18,	1.89,	2.86
12.30,	-0.91,	-0.16
13.49,	4.10,	2.27
11.36,	3.27,	4.66
10.26,	-4.40,	-0.30
8.61,	1.33,	4.03
5.33,	-0.34,	3.50
4.20,	-5.38,	-0.39
7.00,	0.53,	3.63
10.36,	-0.56,	2.07
14.54,	-1.31,	-0.50
13.77,	1.92,	3.25
12.90,	1.58,	0.02
11.80,	4.67,	2.83
9.35,	-1.40,	2.12
8.28,	-5.63,	-1.22
5.17,	3.03,	5.42
4.24,	1.00,	4.26
7.49,	-4.88,	1.01
10.80,	-1.92,	3.93
13.49,	1.99,	1.67
12.73,	2.70,	4.01
12.49,	-3.09,	-2.69
12.02,	3.10,	-0.57
8.86,	2.59,	2.41
9.03,	-6.31,	-2.89
9.01,	-0.22,	2.73
7.41,	4.15,	7.48
6.74,	-3.35,	2.41
9.12,	-1.75,	3.93
11.49,	-1.18,	2.11
11.45,	-0.13,	-0.96
9.38,	0.25,	1.33
10.77,	-2.14,	-4.13
11.42,	5.64,	2.86
11.48,	1.10,	2.42
11.87,	-5.22,	-0.93
11.00,	3.73,	5.48
7.10,	0.33,	5.36
5.37,	-6.12,	-0.30
6.96,	1.04,	4.22
8.55,	-0.58,	1.70
10.17,	-2.99,	-1.16
11.38,	0.20,	1.85
14.24,	3.39,	0.12
13.04,	4.83,	3.21
10.83,	-2.89,	0.87
11.35,	-2.49,	0.42
8.05,	4.57,	6.46
5.34,	-2.14,	2.55
4.83,	-3.62,	0.90
6.10,	0.85,	4.44
10.78,	-0.96,	0.62
12.80,	-1.72,	2.10
15.17,	-0.56,	-0.81
14.06,	4.99,	2.49
10.01,	2.60,	2.34
9.01,	-2.50,	-0.72
8.94,	-0.03,	2.52
6.78,	-0.41,	3.14
4.03,	-1.81,	2.61
6.73,	-0.21,	4.38
11.39,	-2.31,	2.51
12.63,	-1.52,	1.86
12.41,	2.44,	3.05
12.14,	-0.16,	-0.56
10.84,	2.13,	0.25
8.62,	1.02,	1.65
10.25,	-1.26,	-0.78
9.76,	0.23,	3.69
7.58,	-2.33,	4.03
6.53,	-1.64,	4.84
9.70,	2.22,	4.83
9.80,	-1.57,	3.12
10.08,	-4.03,	-1.95
