x,	y,	z
10.85,	3.72,	1.38
10.37,	1.58,	2.21
12.22,	-0.85,	-2.35
11.56,	4.90,	6.05
10.94,	-3.08,	1.40
9.19,	-3.32,	2.58
7.18,	4.06,	5.73
5.81,	-1.92,	2.18
7.30,	-5.15,	-1.05
8.78,	-0.19,	2.47
12.09,	1.51,	0.01
12.83,	0.87,	2.33
14.13,	-1.88,	-1.49
12.71,	4.26,	2.68
10.24,	1.47,	3.21
9.15,	-3.48,	-0.20
6.52,	0.26,	3.91
4.74,	-0.35,	2.75
5.83,	-2.06,	1.48
9.03,	-1.32,	2.71
12.68,	-3.15,	-0.08
14.07,	3.22,	1.64
11.86,	0.90,	3.00
12.68,	-2.94,	-4.07
9.20,	4.92,	5.43
8.63,	-0.43,	0.47
8.19,	-3.78,	-0.95
7.38,	-0.15,	3.90
6.89,	-0.65,	4.01
8.07,	-1.07,	3.70
10.65,	1.09,	5.08
12.83,	-2.73,	0.04
12.54,	0.41,	-0.63
9.90,	1.06,	0.62
9.94,	-0.36,	-3.75
9.66,	3.95,	3.73
9.57,	-4.13,	1.10
10.45,	-2.38,	1.41
8.64,	6.99,	10.38
7.44,	-3.43,	1.73
8.15,	-5.26,	1.23
10.08,	0.89,	2.17
10.21,	1.31,	0.11
9.15,	-2.75,	-0.38
12.13,	-1.30,	-2.89
12.61,	5.66,	3.77
10.51,	-0.44,	1.69
11.43,	-1.59,	1.42
11.32,	4.22,	6.32
6.55,	-3.27,	1.73
5.13,	-3.30,	0.90
6.37,	0.63,	3.54
8.49,	-4.35,	-1.19
11.23,	-0.11,	1.40
12.49,	2.79,	3.17
14.67,	0.11,	-0.83
13.13,	3.24,	2.62
9.75,	-0.03,	2.31
9.14,	-1.38,	0.21
7.81,	1.69,	4.34
5.17,	-4.00,	1.39
5.83,	-1.78,	1.86
8.30,	2.60,	5.18
12.10,	-3.59,	-0.02
13.03,	-2.23,	1.43
13.07,	3.66,	1.98
12.53,	3.96,	1.17
9.19,	-1.51,	0.25
8.72,	-4.48,	-1.37
9.33,	3.79,	3.23
7.57,	1.60,	5.63
6.93,	-6.42,	1.31
8.35,	-0.09,	6.00
10.79,	2.38,	4.00
10.99,	-1.24,	2.14
12.03,	-2.54,	-2.42
11.85,	2.33,	-0.89
9.66,	2.00,	-0.65
8.77,	-0.27,	-0.13
10.62,	-1.50,	2.06
11.74,	-1.37,	2.61
7.92,	0.03,	6.42
7.56,	-0.72,	3.39
8.12,	-0.73,	3.76
8.80,	-3.54,	-0.24
9.34,	0.45,	1.60
10.06,	0.70,	1.22
12.85,	1.65,	-0.77
12.89,	3.42,	2.38
10.70,	-3.47,	-0.68
11.68,	0.99,	1.52
10.03,	3.20,	6.17
7.71,	-5.61,	0.68
5.21,	-0.30,	3.77
5.24,	2.79,	4.39
9.13,	-4.29,	-1.09
10.64,	-4.68,	0.57
14.82,	3.60,	-0.05
14.03,	6.64,	5.85
11.61,	-5.17,	-2.48
10.77,	1.02,	0.70
8.42,	4.48,	5.25
6.77,	-4.56,	-1.04
5.69,	-2.26,	3.22
6.51,	0.22,	3.54
8.60,	-0.27,	2.56
10.29,	-1.07,	3.76
13.84,	-2.72,	-0.25
13.60,	3.10,	2.09
10.95,	2.73,	1.62
10.08,	-2.08,	-2.18
8.87,	0.08,	1.46
8.95,	-0.46,	1.39
7.34,	-1.57,	4.08
7.72,	0.08,	4.53
8.57,	-0.51,	5.75
9.56,	-2.81,	2.68
10.73,	2.32,	3.44
11.02,	0.21,	0.85
11.78,	0.39,	-2.66
9.75,	1.84,	2.01
10.29,	-0.46,	-2.57
9.51,	4.40,	5.86
10.71,	-4.47,	1.57
10.26,	-4.39,	2.16
7.92,	3.88,	6.49
7.05,	-0.15,	2.77
7.86,	-5.04,	-0.65
9.76,	-1.09,	0.56
11.55,	2.69,	1.05
10.80,	0.77,	1.72
13.43,	-0.62,	-0.82
12.90,	3.89,	3.09
10.01,	-0.96,	1.84
9.06,	-1.61,	1.25
7.86,	0.02,	3.87
6.07,	-2.94,	0.66
5.18,	-0.74,	2.52
8.31,	-0.13,	1.81
12.50,	-3.32,	-0.27
14.80,	0.10,	-0.40
13.03,	2.14,	4.31
13.08,	-0.38,	-1.75
8.59,	4.86,	5.56
7.81,	-1.89,	1.45
7.31,	-2.14,	0.88
7.48,	2.29,	4.72
7.10,	-3.67,	1.08
7.95,	-3.12,	2.43
11.69,	1.98,	3.72
13.28,	0.95,	2.30
12.06,	-2.01,	0.46
11.88,	1.07,	-0.23
10.14,	3.85,	1.79
7.85,	-2.36,	-0.26
8.33,	-3.78,	0.65
9.24,	2.12,	4.63
7.30,	-0.13,	5.29
8.10,	-2.28,	3.97
10.01,	-1.46,	4.01
11.11,	-0.98,	0.34
9.98,	2.06,	2.39
9.73,	-1.67,	-2.02
11.95,	-0.59,	-2.96
11.31,	3.36,	1.89
9.90,	-0.56,	0.81
10.15,	-1.51,	2.63
11.43,	3.13,	4.69
8.05,	-2.52,	4.00
6.72,	-4.74,	0.11
6.59,	2.06,	4.53
8.77,	-1.62,	0.05
11.31,	-2.29,	0.12
12.21,	0.46,	0.82
13.59,	3.50,	1.81
12.65,	2.78,	2.68
10.06,	-1.98,	1.92
9.45,	0.37,	2.29
7.37,	1.71,	4.91
5.35,	-5.47,	0.53
6.04,	-1.25,	2.34
7.59,	2.40,	4.10
11.52,	-2.65,	-0.04
13.55,	-2.29,	1.18
14.83,	1.82,	1.52
13.27,	3.74,	2.28
9.04,	1.75,	2.05
7.15,	-2.54,	0.42
7.80,	0.13,	1.32
7.25,	1.56,	4.58
6.96,	-4.51,	0.75
8.21,	-1.44,	3.64
11.04,	1.07,	3.26
12.05,	0.27,	2.30
12.06,	-1.46,	0.57
12.53,	-0.17,	-1.62
10.37,	4.26,	2.03
8.51,	-1.42,	0.06
8.76,	-1.98,	0.49
9.21,	2.79,	5.65
7.85,	-3.60,	4.25
7.93,	-3.26,	3.07
9.57,	3.02,	6.46
9.82,	-2.84,	0.73
9.70,	-1.68,	-0.13
10.03,	2.41,	1.31
11.98,	2.26,	-0.67
11.45,	0.63,	1.24
11.05,	-2.03,	-0.12
10.38,	2.27,	4.00
9.16,	1.52,	4.57
8.44,	-3.37,	2.70
7.25,	-2.09,	2.27
6.42,	0.72,	3.14
8.02,	-1.47,	1.10
10.20,	-3.55,	0.04
14.71,	1.94,	-0.65
