x,	y,	z
9.77,	3.28,	4.05
10.32,	-0.31,	3.52
10.51,	-6.40,	-4.17
11.14,	2.96,	0.86
11.47,	3.07,	0.97
12.37,	-1.89,	-1.17
11.23,	-1.00,	2.67
11.48,	1.39,	2.16
7.52,	1.96,	5.35
6.16,	-2.13,	2.11
5.68,	-2.76,	2.39
7.82,	-0.32,	0.89
8.85,	0.17,	3.53
10.92,	-3.75,	-0.24
14.71,	2.77,	1.42
14.28,	3.80,	3.76
12.56,	-1.86,	-0.77
10.89,	2.12,	3.22
8.22,	0.08,	1.61
4.70,	-3.13,	1.66
3.52,	0.27,	3.02
6.37,	0.61,	3.16
11.70,	-3.27,	1.61
11.84,	-3.55,	1.60
13.46,	4.83,	3.43
13.36,	3.10,	3.43
12.93,	-3.58,	-2.63
11.72,	2.08,	1.61
7.48,	1.63,	1.53
6.65,	-2.77,	0.16
6.21,	-3.27,	3.06
6.36,	-2.03,	3.09
8.48,	3.26,	5.68
10.82,	0.12,	5.07
12.72,	-5.82,	-1.34
13.27,	3.29,	1.01
10.59,	3.81,	1.23
10.00,	-4.25,	-4.58
10.93,	1.73,	0.77
9.98,	3.00,	3.44
8.25,	-2.56,	2.31
7.43,	-0.28,	5.70
7.82,	-0.09,	4.64
7.51,	-2.36,	2.91
9.83,	-0.48,	2.11
10.34,	-2.48,	1.08
12.38,	0.23,	-2.50
11.22,	4.65,	4.17
12.50,	-2.84,	-1.95
12.92,	1.31,	2.09
9.98,	1.57,	4.79
7.35,	-3.79,	1.58
5.75,	1.31,	3.68
5.30,	2.11,	3.98
7.09,	-4.83,	-0.37
9.63,	-3.47,	1.08
12.98,	3.28,	1.59
13.35,	3.12,	3.73
14.17,	-4.41,	-1.42
14.03,	2.34,	1.15
10.50,	4.85,	3.93
7.37,	-4.38,	-0.76
5.12,	-2.12,	1.47
4.48,	2.62,	4.48
5.04,	0.90,	2.35
8.95,	-3.08,	3.93
12.57,	-5.30,	1.31
14.34,	5.41,	3.63
12.73,	6.26,	5.95
12.33,	-4.95,	-4.56
11.87,	0.89,	0.28
9.18,	2.35,	0.66
6.38,	-1.88,	0.81
6.96,	-2.47,	1.99
7.33,	-0.82,	4.20
7.22,	-1.42,	3.83
9.77,	0.99,	4.35
12.69,	-2.83,	1.71
13.64,	-3.27,	-3.33
10.56,	4.29,	2.80
10.00,	-0.37,	-2.26
11.54,	3.35,	0.31
10.78,	2.26,	3.72
9.36,	-7.20,	-1.29
8.89,	3.17,	5.03
6.36,	1.99,	6.04
6.48,	-6.50,	-1.30
8.39,	-0.05,	4.09
11.14,	0.78,	1.01
10.66,	-1.58,	0.52
11.53,	-1.80,	-0.46
14.38,	4.02,	1.41
13.00,	3.48,	3.90
10.38,	-3.24,	0.61
8.74,	0.30,	3.80
5.69,	0.40,	3.61
4.07,	-2.91,	1.62
6.05,	-0.22,	2.50
9.29,	-1.30,	2.05
12.90,	-1.75,	-0.16
12.86,	3.05,	4.18
14.09,	-1.24,	0.40
14.58,	-0.03,	-0.28
10.88,	4.09,	3.85
8.02,	-2.18,	0.27
6.04,	-1.07,	1.02
5.10,	1.40,	4.23
4.89,	-4.17,	1.20
7.63,	-0.74,	3.37
12.78,	0.72,	4.17
13.73,	-3.18,	0.71
13.10,	2.38,	2.27
12.53,	4.83,	1.41
11.03,	0.15,	-0.97
9.11,	-3.29,	-0.51
8.18,	-0.02,	0.63
7.38,	3.86,	5.68
6.39,	-4.26,	2.94
6.85,	-5.32,	3.28
10.10,	2.95,	4.94
11.64,	3.19,	3.97
11.53,	-6.39,	-2.09
12.46,	-2.47,	-3.80
10.80,	6.82,	2.77
10.99,	0.80,	-1.20
10.63,	-2.61,	1.08
11.22,	0.59,	2.96
7.93,	0.55,	5.32
6.01,	-1.39,	3.44
5.64,	0.27,	3.75
7.78,	-1.69,	1.07
10.74,	-1.80,	0.76
11.19,	-1.36,	0.83
13.26,	2.75,	-0.18
13.72,	4.18,	2.96
12.79,	-4.03,	-0.59
12.15,	-0.36,	0.91
8.23,	4.53,	6.08
5.36,	-3.43,	1.14
3.62,	-2.78,	2.71
4.67,	0.79,	3.85
9.57,	0.37,	2.38
11.48,	-4.37,	2.60
15.03,	-0.29,	-1.29
14.46,	9.54,	7.42
12.66,	-3.73,	-2.08
11.65,	-3.94,	-2.72
8.78,	4.71,	4.51
6.05,	-0.87,	0.27
4.45,	-3.25,	2.28
5.81,	-1.39,	3.84
8.13,	-0.43,	3.16
10.57,	2.56,	5.33
13.18,	-4.23,	1.59
14.15,	-3.55,	-2.66
12.15,	8.73,	5.01
9.83,	-0.10,	-0.47
10.55,	-2.44,	-2.66
9.11,	3.05,	4.76
7.24,	-3.48,	1.29
6.43,	-2.05,	4.34
7.83,	1.86,	6.15
8.24,	-2.17,	3.24
10.78,	-1.23,	1.66
12.07,	0.51,	1.96
12.51,	-0.15,	-3.20
10.86,	2.25,	1.09
11.70,	-1.48,	-2.07
12.07,	2.93,	2.13
10.19,	-0.26,	4.23
8.61,	-4.87,	1.36
6.20,	1.16,	5.06
4.86,	2.21,	3.41
6.85,	-2.44,	1.11
9.67,	-4.76,	-0.15
13.78,	0.73,	-0.59
12.95,	5.65,	3.82
12.67,	-3.13,	-0.83
14.07,	-1.27,	-0.88
12.51,	5.09,	4.85
8.51,	-1.14,	0.87
4.94,	-2.07,	1.76
4.46,	-0.01,	3.45
5.14,	-2.46,	1.01
7.56,	0.25,	3.25
12.62,	-3.38,	1.47
15.64,	-1.06,	-1.11
13.26,	4.97,	6.17
13.03,	-1.20,	-1.80
10.75,	2.49,	1.88
9.23,	0.59,	1.73
6.18,	-2.90,	-0.17
5.29,	0.74,	4.08
