x,	y,	z
4.93,	-6.40,	-1.02
5.78,	-0.27,	3.56
8.15,	1.16,	2.64
12.22,	-0.85,	-0.57
14.16,	1.14,	1.84
15.45,	-0.48,	-0.03
13.66,	4.14,	2.39
11.90,	4.52,	5.41
9.28,	-3.77,	-0.35
7.56,	0.22,	3.27
3.57,	-1.45,	3.34
3.21,	-4.66,	-0.15
7.38,	0.24,	4.39
10.06,	-2.52,	1.47
13.68,	2.46,	1.87
14.48,	4.05,	6.04
15.27,	-4.15,	-4.13
13.22,	4.76,	2.04
8.51,	1.48,	2.56
6.51,	-6.55,	-3.60
6.51,	1.96,	5.70
5.37,	-1.36,	4.40
6.81,	-3.10,	1.72
9.29,	2.67,	7.02
12.09,	-2.45,	-0.31
13.05,	0.55,	0.81
13.72,	1.66,	0.30
13.81,	-0.90,	-4.18
9.42,	2.62,	2.43
8.35,	-1.84,	-0.44
8.61,	1.42,	3.35
7.78,	1.94,	7.13
7.07,	-6.85,	2.40
7.77,	-2.38,	4.05
8.65,	3.37,	4.57
8.05,	-2.62,	0.48
12.47,	-0.49,	-1.98
14.17,	3.74,	1.87
13.65,	-0.61,	-2.53
10.82,	2.53,	3.13
10.65,	-0.97,	1.82
9.92,	-0.57,	2.39
6.39,	-0.11,	5.45
4.53,	-4.26,	0.94
5.11,	-0.22,	3.08
7.42,	-0.33,	1.73
10.52,	-2.30,	0.19
13.04,	0.92,	1.52
16.55,	3.30,	1.19
15.44,	1.90,	1.34
11.54,	-0.97,	1.24
10.36,	2.25,	1.90
6.33,	0.31,	3.68
3.98,	-5.07,	0.19
3.55,	-2.00,	3.78
6.82,	0.42,	2.71
10.14,	-1.46,	3.19
12.17,	-3.77,	0.89
15.64,	5.15,	2.99
14.50,	4.98,	3.67
11.82,	-3.90,	-3.11
10.11,	1.35,	1.23
7.01,	1.50,	2.23
6.12,	-3.93,	0.54
6.06,	-2.89,	4.26
6.71,	-1.45,	4.46
9.56,	1.98,	4.69
10.44,	-0.03,	4.10
12.44,	-2.78,	-2.15
14.08,	4.06,	0.45
12.75,	0.88,	-1.28
10.67,	-3.20,	-3.68
9.62,	3.11,	3.10
8.96,	0.71,	3.03
7.57,	-2.83,	4.06
7.50,	-0.39,	5.76
7.59,	-2.71,	3.45
7.71,	-2.91,	1.05
7.69,	0.59,	2.54
