x,	y,	z
10.37,	3.19,	3.16
8.21,	-0.92,	3.75
7.10,	-3.03,	1.96
7.29,	4.94,	8.88
7.78,	-3.08,	2.07
8.51,	-5.63,	0.18
11.36,	1.82,	2.55
12.44,	0.76,	-0.15
11.54,	-1.44,	-1.39
11.23,	0.37,	-0.02
12.24,	2.93,	1.85
11.83,	2.05,	3.61
9.61,	-3.25,	2.60
8.02,	-1.21,	3.34
4.55,	0.82,	3.93
3.96,	-0.71,	0.96
8.71,	-1.64,	2.36
11.73,	-6.13,	-1.12
14.20,	4.67,	2.07
11.80,	5.60,	6.89
13.69,	-4.85,	-3.99
13.66,	3.82,	3.68
10.03,	1.53,	2.45
6.36,	-4.93,	-1.02
5.01,	1.59,	3.49
4.59,	-0.54,	3.85
7.13,	-3.21,	0.02
9.39,	1.72,	6.21
14.07,	-1.56,	-0.31
14.23,	1.83,	3.63
13.00,	1.50,	0.28
12.96,	1.83,	-0.36
9.93,	-1.23,	-0.70
8.30,	-2.51,	-1.30
6.48,	0.85,	2.77
6.28,	-0.15,	3.90
6.64,	-4.26,	3.95
8.31,	-0.68,	4.82
11.59,	3.40,	5.41
12.93,	-1.69,	0.98
13.07,	-2.52,	-1.83
11.93,	2.89,	-0.10
10.00,	2.83,	-0.14
9.34,	0.47,	0.62
8.80,	-4.60,	2.09
9.12,	-2.17,	2.15
6.55,	3.82,	8.39
6.84,	-2.03,	2.07
8.16,	-2.41,	2.49
10.28,	-0.73,	0.97
11.92,	1.59,	1.32
10.64,	-2.35,	0.26
13.10,	2.12,	-0.63
12.57,	5.84,	4.98
11.71,	-3.77,	-0.69
11.01,	-0.51,	2.29
8.01,	1.47,	4.67
4.62,	-3.96,	1.57
3.16,	-0.51,	2.18
6.65,	3.24,	3.87
12.12,	-5.81,	-1.00
14.14,	-4.69,	-2.00
13.57,	6.44,	5.04
13.51,	3.45,	1.54
11.72,	-1.55,	1.60
10.87,	-2.29,	0.54
7.03,	3.06,	3.54
