x,	y,	z
12.39,	2.70,	2.56
12.17,	0.98,	-1.61
9.22,	1.25,	1.89
7.08,	-3.69,	-1.72
7.10,	1.35,	2.63
8.19,	-0.58,	4.90
8.23,	-6.63,	2.22
9.57,	1.09,	5.21
11.10,	5.59,	5.92
10.78,	-4.34,	-1.37
12.02,	-3.82,	-3.45
11.47,	4.16,	1.13
11.00,	2.47,	-1.06
9.37,	-1.22,	1.96
9.29,	-3.67,	0.96
9.09,	2.58,	5.22
7.94,	2.93,	7.20
8.38,	-4.85,	0.85
9.11,	-2.69,	1.96
9.04,	0.67,	0.89
8.58,	-0.00,	0.56
11.47,	-1.65,	-0.47
14.24,	0.71,	-1.23
13.00,	2.87,	3.65
10.61,	-3.02,	0.64
9.40,	2.98,	3.97
7.71,	4.17,	7.17
5.17,	-5.49,	-0.23
5.65,	-2.27,	2.61
8.45,	0.19,	2.08
9.74,	-2.12,	-0.03
12.34,	-1.07,	1.08
15.01,	1.71,	0.38
14.18,	2.78,	2.30
11.83,	-0.71,	0.90
8.90,	0.97,	2.12
7.34,	2.18,	3.18
5.32,	-2.59,	1.22
5.35,	-3.45,	2.49
8.06,	-1.26,	2.58
10.01,	2.31,	4.27
11.84,	1.34,	5.02
13.35,	-4.36,	-0.75
13.56,	2.59,	0.81
11.59,	5.44,	2.38
9.08,	-3.99,	-2.47
8.84,	-1.23,	-0.71
8.00,	4.85,	5.32
6.44,	-3.70,	2.35
7.94,	-3.67,	3.67
9.73,	0.24,	5.89
10.21,	-0.63,	2.58
10.46,	1.09,	2.65
10.72,	-1.97,	-0.80
12.98,	2.26,	-2.00
10.91,	3.23,	2.52
10.95,	-2.19,	-3.35
10.21,	3.60,	4.58
8.74,	-2.04,	2.89
7.84,	-3.43,	2.58
7.90,	2.43,	5.52
8.29,	-0.82,	2.46
8.16,	-4.76,	-1.04
9.05,	-0.38,	0.64
11.55,	1.89,	0.11
13.65,	1.79,	0.53
14.00,	-1.90,	0.37
13.13,	-0.55,	0.31
9.50,	3.71,	5.23
6.87,	-0.00,	3.06
5.27,	-2.31,	2.40
5.78,	-0.86,	2.81
7.32,	-2.19,	1.61
8.80,	-1.93,	1.58
11.97,	-1.55,	1.06
14.88,	1.70,	-0.38
13.19,	1.49,	4.12
12.53,	-3.53,	-2.60
9.73,	6.08,	5.60
7.58,	0.65,	3.26
5.54,	-5.16,	-1.05
5.63,	1.39,	4.95
7.93,	-1.37,	2.77
9.17,	-3.14,	2.43
12.10,	1.48,	4.76
13.56,	0.44,	1.83
12.21,	0.87,	0.78
11.30,	1.41,	0.08
10.06,	0.95,	-1.12
9.00,	0.28,	0.45
7.37,	-3.56,	2.05
7.39,	-2.54,	3.14
8.07,	3.14,	7.58
8.60,	-0.67,	4.87
9.76,	-4.66,	1.63
10.78,	0.15,	1.51
10.61,	2.88,	1.15
10.85,	-1.58,	-1.54
12.70,	-0.39,	-1.50
12.17,	3.87,	1.66
9.50,	-0.10,	2.90
9.36,	-3.50,	1.41
8.53,	3.19,	6.24
6.77,	0.68,	5.15
6.97,	-4.19,	0.25
7.84,	-0.95,	2.28
9.58,	-1.76,	-0.80
11.40,	0.11,	-0.56
13.08,	1.37,	2.20
15.16,	-1.38,	-1.51
12.86,	4.05,	4.74
9.68,	0.05,	3.87
6.78,	-0.62,	0.96
5.41,	3.77,	6.24
5.08,	-5.34,	-0.27
7.43,	-5.02,	0.53
10.18,	1.39,	3.53
12.08,	0.54,	0.94
13.50,	-0.49,	2.12
14.12,	-0.80,	0.28
12.77,	5.33,	2.19
9.44,	2.68,	3.14
7.40,	-5.99,	-2.32
6.79,	0.16,	2.11
5.55,	1.33,	4.20
6.52,	-4.14,	1.78
10.23,	-0.97,	4.99
12.10,	1.60,	4.14
12.59,	1.13,	2.69
11.52,	-1.63,	-0.04
12.07,	1.80,	-1.52
10.75,	4.57,	1.01
7.94,	-3.42,	-0.45
8.48,	-4.28,	0.16
8.52,	3.26,	6.96
7.01,	-0.71,	6.10
8.41,	-2.54,	2.79
10.00,	0.95,	5.53
10.76,	-3.00,	-1.30
9.70,	-0.50,	0.42
11.03,	1.27,	-0.27
13.37,	1.22,	-1.08
12.16,	0.91,	1.53
10.72,	-1.87,	0.96
10.00,	1.91,	3.34
7.99,	3.60,	6.43
5.47,	-4.51,	1.70
6.15,	-3.33,	1.74
7.82,	0.51,	2.42
9.50,	-1.32,	0.24
11.41,	-2.63,	-0.52
14.57,	1.62,	-0.40
15.05,	3.61,	2.48
12.60,	-1.50,	0.74
10.12,	0.24,	2.15
7.56,	3.63,	4.80
3.98,	-2.16,	1.42
4.62,	-3.07,	1.52
8.71,	-2.11,	2.11
10.71,	-1.34,	1.25
11.73,	1.08,	3.30
13.12,	-1.24,	0.80
14.18,	1.66,	0.77
12.84,	4.28,	2.37
9.20,	-1.22,	-0.57
8.32,	-1.69,	-0.30
6.59,	-0.44,	2.99
5.37,	-2.68,	2.60
6.92,	0.67,	5.21
