x,	y,	z
7.74,	-1.31,	3.80
9.96,	0.62,	4.11
11.33,	0.01,	2.83
11.80,	-1.27,	-0.19
12.41,	1.33,	-1.58
9.62,	0.97,	0.67
9.35,	-2.52,	-2.84
9.44,	4.07,	4.42
10.78,	0.78,	4.31
9.88,	-5.44,	1.99
8.83,	1.46,	5.90
7.27,	0.97,	3.58
7.79,	-4.18,	0.02
8.27,	-4.09,	0.35
10.71,	1.57,	0.00
10.95,	3.56,	2.23
11.97,	-1.38,	-0.44
13.44,	-0.65,	-0.19
11.53,	2.69,	3.96
10.26,	0.17,	1.76
8.23,	0.16,	4.58
7.13,	-2.34,	2.21
4.88,	-1.38,	3.16
6.21,	0.06,	2.65
9.50,	-2.57,	1.80
12.83,	-3.63,	-1.21
14.49,	5.61,	4.52
12.26,	0.25,	3.01
12.48,	1.19,	-0.82
8.85,	6.11,	7.49
6.62,	-4.99,	-2.12
7.07,	-1.86,	2.11
6.69,	0.34,	3.28
6.97,	-3.22,	1.27
9.90,	-0.72,	3.44
12.23,	1.30,	3.16
14.38,	0.49,	1.53
12.30,	-0.67,	1.34
11.17,	2.85,	-0.14
9.63,	4.11,	2.22
7.38,	-5.64,	-1.43
8.31,	-4.13,	-0.20
8.06,	2.31,	6.00
6.99,	-0.81,	3.57
8.62,	-0.84,	5.29
10.77,	-1.88,	2.79
12.18,	1.16,	0.51
11.15,	3.22,	1.58
10.41,	-2.62,	-3.35
11.04,	0.69,	-1.60
9.82,	3.30,	2.93
9.11,	-2.60,	1.75
10.95,	-0.22,	3.66
10.12,	2.49,	6.49
6.71,	-3.47,	1.56
6.81,	-1.50,	2.29
8.45,	-1.86,	1.21
9.98,	-3.02,	-2.15
11.05,	1.98,	3.27
11.89,	-0.77,	-0.09
13.87,	5.06,	2.91
11.66,	2.98,	5.25
9.52,	-4.89,	-1.25
8.46,	3.77,	5.08
6.13,	-1.43,	2.59
5.30,	-6.78,	-1.75
6.99,	0.93,	4.71
9.95,	0.41,	1.28
12.57,	-0.72,	2.42
13.94,	-2.33,	0.62
14.29,	3.61,	1.67
11.85,	6.24,	3.85
8.05,	-3.08,	-0.45
7.26,	-3.14,	-0.20
7.35,	1.67,	4.05
6.47,	-1.93,	1.70
7.36,	-1.87,	3.55
9.35,	-1.14,	3.97
12.63,	1.63,	2.39
13.15,	2.72,	4.62
12.48,	-3.47,	-2.85
12.05,	3.04,	-0.22
8.89,	2.19,	1.63
7.99,	-5.32,	-3.14
8.44,	0.56,	3.84
8.53,	1.03,	5.30
7.18,	-3.97,	3.17
8.84,	1.36,	5.19
10.31,	-0.97,	3.13
11.15,	-4.57,	-2.48
10.63,	2.61,	2.27
10.38,	0.66,	-1.48
11.73,	3.73,	0.54
10.66,	1.23,	2.85
10.19,	-3.58,	-0.94
10.62,	3.90,	6.15
8.58,	-0.92,	3.98
7.50,	-5.49,	0.43
7.09,	0.61,	3.88
7.49,	-0.08,	1.20
9.12,	-2.77,	0.70
11.37,	-2.45,	-0.23
14.15,	4.61,	1.70
12.83,	3.91,	3.88
11.59,	-3.66,	-0.92
10.95,	2.11,	3.31
7.59,	1.45,	3.95
5.51,	-3.67,	0.72
5.57,	-1.15,	3.55
7.58,	-1.32,	1.77
9.96,	-0.44,	2.46
11.42,	-0.73,	2.85
15.14,	-0.22,	-0.31
14.54,	3.40,	3.00
11.06,	-0.20,	-0.41
8.69,	1.12,	0.90
6.99,	0.62,	1.87
6.92,	-3.20,	0.96
7.06,	-2.39,	2.69
7.46,	0.69,	3.90
9.55,	0.22,	4.17
10.92,	-3.03,	2.29
13.60,	1.41,	1.30
13.04,	4.51,	2.46
10.26,	-2.15,	-2.26
10.12,	-0.56,	-1.40
9.34,	1.49,	1.50
8.39,	-1.04,	1.05
7.85,	-1.80,	5.04
8.92,	-2.00,	3.96
8.63,	0.54,	4.67
9.58,	1.54,	3.46
9.94,	-3.93,	-0.06
11.31,	-3.34,	-3.80
10.86,	5.62,	2.86
10.19,	0.05,	-0.05
11.90,	-0.45,	0.40
10.83,	2.85,	5.29
9.25,	-1.36,	2.40
8.34,	-0.36,	4.38
7.87,	-0.47,	2.79
6.96,	-3.64,	1.07
7.79,	-0.52,	1.44
8.37,	0.05,	3.05
13.28,	0.42,	-1.38
13.67,	3.33,	3.99
13.00,	-3.51,	-2.46
12.20,	3.00,	1.78
9.41,	2.72,	4.46
7.31,	-5.03,	-0.53
6.01,	-2.69,	1.81
5.26,	1.62,	4.71
